Application,Repeat Count,IP Protocol,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),Packets Sent,Packets Received,Session End Reason,Risk of app,Label,Packets per second,Bytes per second,Average packet size
ping,65536.0,icmp,231284340.0,115646580.0,115637760.0,3854739.0,25.0,1927443.0,1927296.0,aged-out,2.0,DoS,154189.56,9251373.6,60.0
incomplete,1.0,tcp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,1.0,DDoS,0.0,0.0,60.0
ping,1.0,icmp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,2.0,DDoS,0.0,0.0,60.0
ping,65536.0,icmp,78247920.0,39140880.0,39107040.0,1304132.0,9.0,652348.0,651784.0,aged-out,2.0,DoS,144903.55555555556,8694213.333333334,60.0
dns-base,1.0,udp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,3.0,DDoS,0.0,0.0,60.0
ping,13673.0,icmp,5946360.0,2973180.0,2973180.0,99106.0,2.0,49553.0,49553.0,aged-out,2.0,DoS,49553.0,2973180.0,60.0
ping,117399.0,icmp,60111720.0,30055860.0,30055860.0,1001862.0,3.0,500931.0,500931.0,aged-out,2.0,DoS,333954.0,20037240.0,60.0
ping,131072.0,icmp,7864320.0,7864320.0,0.0,131072.0,0.0,131072.0,0.0,aged-out,2.0,DoS,0.0,0.0,60.0
ping,65536.0,icmp,3932160.0,3932160.0,0.0,65536.0,0.0,65536.0,0.0,aged-out,2.0,DoS,0.0,0.0,60.0
dns-base,1.0,udp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,3.0,DDoS,0.0,0.0,60.0
ping,65536.0,icmp,3932160.0,3932160.0,0.0,65536.0,0.0,65536.0,0.0,aged-out,2.0,DoS,0.0,0.0,60.0
incomplete,1.0,tcp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,1.0,DDoS,0.0,0.0,60.0
incomplete,1.0,tcp,25800.0,12900.0,12900.0,430.0,157.0,215.0,215.0,tcp-rst-from-server,1.0,DoS,2.738853503184713,164.3312101910828,60.0
dns-base,1.0,udp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,3.0,DDoS,0.0,0.0,60.0
incomplete,1.0,tcp,25800.0,12900.0,12900.0,430.0,157.0,215.0,215.0,tcp-rst-from-server,1.0,DoS,2.738853503184713,164.3312101910828,60.0
incomplete,1.0,tcp,25800.0,12900.0,12900.0,430.0,157.0,215.0,215.0,tcp-rst-from-server,1.0,DoS,2.738853503184713,164.3312101910828,60.0
incomplete,1.0,tcp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,1.0,DDoS,0.0,0.0,60.0
incomplete,1.0,tcp,25800.0,12900.0,12900.0,430.0,157.0,215.0,215.0,tcp-rst-from-server,1.0,DoS,2.738853503184713,164.3312101910828,60.0
ping,1.0,icmp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,2.0,DDoS,0.0,0.0,60.0
incomplete,1.0,tcp,25920.0,12960.0,12960.0,432.0,159.0,216.0,216.0,tcp-rst-from-server,1.0,DoS,2.7169811320754715,163.0188679245283,60.0
dns-base,1.0,udp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,3.0,DDoS,0.0,0.0,60.0
dns-base,1.0,udp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,3.0,DDoS,0.0,0.0,60.0
incomplete,1.0,tcp,60.0,60.0,0.0,1.0,0.0,1.0,0.0,aged-out,1.0,DDoS,0.0,0.0,60.0
incomplete,1.0,tcp,25800.0,12900.0,12900.0,430.0,157.0,215.0,215.0,tcp-rst-from-server,1.0,DoS,2.738853503184713,164.3312101910828,60.0
incomplete,1.0,tcp,25920.0,12960.0,12960.0,432.0,159.0,216.0,216.0,tcp-rst-from-server,1.0,DoS,2.7169811320754715,163.0188679245283,60.0
incomplete,1.0,tcp,25920.0,12960.0,12960.0,432.0,159.0,216.0,216.0,tcp-rst-from-server,1.0,DoS,2.7169811320754715,163.0188679245283,60.0
incomplete,1.0,tcp,25800.0,12900.0,12900.0,430.0,157.0,215.0,215.0,tcp-rst-from-server,1.0,DoS,2.738853503184713,164.3312101910828,60.0
incomplete,1.0,tcp,25920.0,12960.0,12960.0,432.0,159.0,216.0,216.0,tcp-rst-from-server,1.0,DoS,2.7169811320754715,163.0188679245283,60.0
