cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps
4,961033,308,0,308,0,82106
0,961042,308,0,308,0,82104
0,961042,308,0,308,0,82104
0,961380,307,0,307,0,82138
0,961084,461,0,461,0,82106
556,960964,388,0,388,0,82096
556,960964,281,0,281,0,82096
0,961435,286,0,286,0,82120
10,960823,286,0,286,0,82090
0,961301,286,0,286,0,82120
0,961301,286,0,286,0,82120
0,961010,285,0,285,0,82098
0,961389,286,0,286,0,82110
2,960985,286,0,286,0,82088
2,960985,284,0,284,0,82088
0,961178,284,0,284,0,82100
0,961153,284,0,284,0,82090
0,961153,284,0,284,0,82090
0,961122,355,0,355,0,82070
142,961179,77,0,77,0,82094
0,961093,77,0,77,0,82098
0,961093,78,0,78,0,82098
2,961159,73,0,73,0,82094
0,960919,74,0,74,0,82058
2,961218,74,0,74,0,82092
2,961218,74,0,74,0,82092
0,961170,74,0,74,0,82108
0,961303,73,0,73,0,82114
0,961303,73,0,73,0,82114
0,960891,76,0,76,0,82074
6,961473,76,0,76,0,82138
0,960931,76,0,76,0,82066
0,960931,231,0,231,0,82066
310,961139,160,0,160,0,82088
0,961076,160,0,160,0,82080
0,961076,160,0,160,0,82080
0,961058,159,0,159,0,82102
0,961097,162,0,162,0,82094
6,961309,161,0,161,0,82118
6,961309,161,0,161,0,82118
0,961090,161,0,161,0,82116
0,961115,161,0,161,0,82100
0,961117,161,0,161,0,82108
0,961117,166,0,166,0,82108
10,961220,163,0,163,0,82100
0,961257,224,0,224,0,82112
0,961257,298,0,298,0,82112
270,960778,143,0,143,0,82074
0,961049,143,0,143,0,82084
0,961475,143,0,143,0,82146
0,961475,143,0,143,0,82146
0,961115,143,0,143,0,82092
0,960882,142,0,142,0,82088
0,960882,140,0,140,0,82088
0,961209,141,0,141,0,82120
2,961115,141,0,141,0,82092
0,961229,141,0,141,0,82106
0,961229,143,0,143,0,82106
4,961137,138,0,138,0,82100
0,961229,194,0,194,0,82120
0,961229,293,0,293,0,82120
310,960799,158,0,158,0,82088
0,961105,158,0,158,0,82120
0,961086,158,0,158,0,82114
0,961086,158,0,158,0,82114
0,961240,159,0,159,0,82120
2,961255,159,0,159,0,82130
2,961255,159,0,159,0,82130
0,961129,163,0,163,0,82122
8,961002,163,0,163,0,82106
8,961002,162,0,162,0,82106
0,863766,164,0,164,0,73812
4,816816,162,0,162,0,69800
0,824481,162,0,162,0,70456
0,824481,739,0,739,0,70456
1316,826328,1155,0,1155,0,70612
1492,830559,1717,0,1717,0,70976
1474,826328,2239,0,2239,0,70612
1474,826328,2765,0,2765,0,70612
1492,828805,3300,0,3300,0,70824
1508,834846,3864,0,3864,0,71340
1508,834846,4330,0,4330,0,71340
1470,829354,4900,0,4900,0,70872
1528,829126,5422,0,5422,0,70852
1522,830687,5974,0,5974,0,70984
1522,830687,6504,0,6504,0,70984
1468,813819,7035,0,7035,0,69544
1484,824291,7565,0,7566,0,70438
1484,824291,8123,0,8123,0,70438
1506,831765,7521,0,7521,0,71076
1514,827064,8058,0,8058,0,70676
1516,831292,8178,0,8178,0,71036
1516,831292,7952,0,7952,0,71036
1490,826980,8204,0,8204,0,70668
1530,839205,7658,0,7658,0,71712
1506,828960,8049,0,8049,0,70838
1506,828960,8396,0,8396,0,70838
1548,832927,7818,0,7818,0,71176
1486,819979,8040,0,8040,0,70070
1492,827311,8190,0,8190,0,70696
1492,827311,8002,0,8002,0,70696
1502,823047,8275,0,8275,0,70332
1464,829420,7692,0,7692,0,70876
1482,833829,8043,0,8043,0,71254
1508,831802,8141,0,8141,0,71080
1508,831802,7960,0,7960,0,71080
1532,831967,8221,0,8221,0,71094
1548,837286,7652,0,7652,0,71548
1506,833214,8113,0,8113,0,71202
1506,833214,8478,0,8478,0,71202
1496,834289,7866,0,7866,0,71292
1488,835414,8112,0,8112,0,71388
1538,834431,7909,0,7909,0,71304
1532,833224,8041,0,8041,0,71202
1532,833224,8437,0,8437,0,71202
1532,833461,7745,0,7745,0,71222
1496,830640,8105,0,8105,0,70980
1496,830640,8555,0,8555,0,70980
1528,836293,7956,0,7956,0,71466
1524,830582,8173,0,8173,0,70976
1656,921078,8338,0,8338,0,78708
1656,921078,8064,0,8064,0,78708
1116,960765,7713,0,7713,0,82086
0,960939,7309,0,7309,0,82078
0,960939,6540,0,6540,0,82078
0,961112,6213,0,6213,0,82104
4,961369,5413,0,5413,0,82136
0,960962,4882,0,4882,0,82100
0,960962,4698,0,4698,0,82100
8,961250,3523,0,3523,0,82120
0,961102,3290,0,3290,0,82118
0,961102,3168,0,3168,0,82118
0,961116,1984,0,1984,0,82120
0,961090,1762,0,1762,0,82110
432,961040,1350,0,1350,0,82104
432,961040,333,0,333,0,82104
0,961129,238,0,238,0,82122
20,961050,237,0,237,0,82104
20,961050,232,0,232,0,82104
0,960894,236,0,236,0,82110
8,961504,235,0,235,0,82126
0,960968,238,0,238,0,82070
8,961227,234,0,234,0,82112
0,961489,234,0,234,0,82142
0,960584,234,0,234,0,82048
0,961092,234,0,234,0,82104
64,961393,122,0,122,0,82126
0,961205,63,0,63,0,82104
26,961034,53,0,53,0,82100
26,961034,53,0,53,0,82100
0,961075,58,0,58,0,82066
10,960595,54,0,54,0,82042
0,961131,54,0,54,0,82096
0,961131,56,0,56,0,82096
4,961316,52,0,52,0,82116
0,961006,52,0,52,0,82068
0,961006,53,0,53,0,82068
2,961058,53,0,53,0,82082
0,961213,86,0,86,0,82096
110,961219,95,0,95,0,82086
110,961219,76,0,76,0,82086
0,961229,93,0,93,0,82106
34,960871,88,0,88,0,82088
34,960871,80,0,80,0,82088
0,961260,92,0,92,0,82106
24,961124,87,0,87,0,82098
0,960384,87,0,87,0,82032
0,960384,89,0,89,0,82032
4,961013,87,0,87,0,82086
0,961155,87,0,87,0,82078
0,961155,90,0,90,0,82078
6,960994,89,0,89,0,82060
0,961510,158,0,158,0,82108
290,960871,211,0,211,0,82074
290,960871,179,0,179,0,82074
0,961159,197,0,197,0,82108
36,961087,182,0,182,0,82094
36,961087,180,0,180,0,82094
0,961204,184,0,184,0,82110
8,961031,172,0,172,0,82064
0,961163,172,0,172,0,82090
0,961163,174,0,174,0,82090
4,961244,172,0,172,0,82096
0,960953,178,0,178,0,82074
12,961278,177,0,177,0,82098
12,961278,175,0,175,0,82098
0,960936,324,0,324,0,82076
298,960834,223,0,223,0,82070
298,960834,179,0,179,0,82070
0,961369,192,0,192,0,82110
26,960920,174,0,174,0,82086
0,960819,174,0,174,0,82094
0,960819,176,0,176,0,82094
4,959291,172,0,172,0,81950
0,961321,174,0,174,0,82126
4,961007,174,0,174,0,82096
4,961007,172,0,172,0,82096
0,961228,175,0,175,0,82126
6,960795,171,0,171,0,82092
6,960795,169,0,169,0,82092
0,961253,509,0,509,0,82122
1278,961076,752,0,752,0,82114
186,961270,752,0,752,0,82120
186,961270,773,0,773,0,82120
42,960768,760,0,760,0,82088
0,961182,760,0,760,0,82132
0,961244,759,0,759,0,82096
0,961244,758,0,758,0,82096
0,961307,759,0,759,0,82118
2,961044,758,0,758,0,82086
2,961044,757,0,757,0,82086
0,961093,761,0,761,0,82106
8,961160,759,0,759,0,82088
8,961160,758,0,758,0,82088
0,961045,900,0,900,0,82088
284,961079,168,0,168,0,82096
0,960832,168,0,168,0,82070
0,960832,188,0,188,0,82070
40,961293,167,0,167,0,82128
0,961304,167,0,167,0,82116
0,961304,168,0,168,0,82116
2,961219,168,0,168,0,82108
0,960876,170,0,170,0,82064
4,961208,169,0,169,0,82106
4,961208,169,0,169,0,82106
0,961314,174,0,174,0,82108
10,961377,170,0,170,0,82130
10,961377,170,0,170,0,82130
0,958879,233,0,233,0,81896
126,961286,91,0,91,0,82110
0,961198,91,0,91,0,82120
0,961198,108,0,108,0,82120
34,961025,88,0,88,0,82108
0,961029,95,0,95,0,82090
14,961226,94,0,94,0,82104
14,961226,94,0,94,0,82104
0,961140,99,0,99,0,82102
10,961075,99,0,99,0,82108
10,961075,97,0,97,0,82108
0,961166,102,0,102,0,82092
10,961397,97,0,97,0,82122
0,960856,97,0,97,0,82078
0,960856,237,0,237,0,82078
280,960682,174,0,174,0,82072
0,961454,197,0,197,0,82132
0,961454,197,0,197,0,82132
46,960639,180,0,180,0,82064
0,961226,190,0,190,0,82118
20,960658,187,0,187,0,82056
20,960658,183,0,183,0,82056
0,961133,187,0,187,0,82118
8,960664,183,0,183,0,82060
8,960664,182,0,182,0,82060
0,961097,183,0,183,0,82094
2,961208,178,0,178,0,82106
0,961223,178,0,178,0,82116
0,961223,437,0,437,0,82116
518,960809,297,0,297,0,82088
0,961142,316,0,316,0,82076
38,960544,311,0,311,0,82056
38,960544,293,0,293,0,82056
0,961028,295,0,295,0,82104
4,961295,292,0,292,0,82136
4,961295,285,0,285,0,82136
0,961271,285,0,285,0,82134
0,960927,281,0,281,0,82104
0,961244,281,0,281,0,82116
0,961244,286,0,286,0,82116
10,961222,285,0,285,0,82122
0,961178,383,0,383,0,82120
0,961178,439,0,439,0,82120
308,961055,180,0,180,0,82114
0,960886,304,0,304,0,82098
248,961083,295,0,295,0,82120
248,961083,285,0,285,0,82120
0,961109,291,0,291,0,82102
12,961400,291,0,291,0,82132
12,961400,289,0,289,0,82132
0,961026,290,0,290,0,82088
2,961391,290,0,290,0,82138
2,961391,290,0,290,0,82138
0,961004,291,0,291,0,82094
2,961252,286,0,286,0,82108
0,960917,305,0,305,0,82064
0,960917,357,0,357,0,82064
142,961230,203,0,203,0,82100
0,961098,262,0,262,0,82074
0,961098,262,0,262,0,82074
118,960968,138,0,138,0,82084
0,961236,142,0,142,0,82104
8,960937,141,0,141,0,82084
8,960937,136,0,136,0,82084
0,960069,138,0,138,0,81994
4,961005,137,0,137,0,82074
0,961434,139,0,139,0,82146
4,960964,138,0,138,0,82088
4,960964,138,0,138,0,82088
0,961385,225,0,225,0,82114
174,960638,154,0,154,0,82050
0,961296,154,0,154,0,82096
0,961296,159,0,159,0,82096
10,961147,100,0,100,0,82066
0,961088,104,0,104,0,82088
8,961246,102,0,102,0,82104
8,961246,100,0,100,0,82104
0,961022,102,0,102,0,82072
4,960967,100,0,100,0,82090
4,961068,101,0,101,0,82082
4,961068,100,0,100,0,82082
0,961183,211,0,211,0,82110
222,961071,124,0,124,0,82104
0,960998,135,0,135,0,82090
22,961223,130,0,130,0,82116
0,960890,138,0,138,0,82080
16,961434,136,0,136,0,82112
16,961434,134,0,134,0,82112
0,961117,137,0,137,0,82080
6,961202,135,0,135,0,82102
0,961101,135,0,135,0,82090
0,961101,136,0,136,0,82090
2,960845,134,0,134,0,82084
0,961485,173,0,173,0,82132
0,961485,181,0,181,0,82132
94,960940,70,0,70,0,82086
0,960967,86,0,86,0,82090
32,961234,84,0,84,0,82130
32,961234,75,0,75,0,82130
0,961079,79,0,79,0,82116
8,961172,73,0,73,0,82116
8,961172,71,0,71,0,82116
0,961169,76,0,76,0,82114
10,960905,73,0,73,0,82090
0,961172,73,0,73,0,82116
0,961172,77,0,77,0,82116
8,961318,76,0,76,0,82138
0,961053,173,0,173,0,82106
0,961053,354,0,354,0,82106
556,960603,307,0,307,0,82074
0,960640,310,0,310,0,82078
6,961339,304,0,304,0,82126
6,961339,294,0,294,0,82126
0,961114,296,0,296,0,82078
4,961130,294,0,294,0,82082
0,961115,292,0,292,0,82106
0,961115,299,0,299,0,82106
14,960942,294,0,294,0,82080
0,961129,294,0,294,0,82088
0,961129,295,0,295,0,82088
2,961305,291,0,291,0,82102
0,961103,328,0,328,0,82098
0,961103,348,0,348,0,82098
114,961142,70,0,70,0,82110
0,960898,79,0,79,0,82058
18,960997,77,0,77,0,82096
18,960997,76,0,76,0,82096
0,961415,76,0,76,0,82134
0,961173,74,0,74,0,82110
0,960986,74,0,74,0,82082
0,960986,74,0,74,0,82082
0,961268,67,0,67,0,82098
0,961170,67,0,67,0,82088
0,961170,70,0,70,0,82088
6,961232,69,0,69,0,82122
0,960894,115,0,115,0,82076
92,961180,97,0,97,0,82108
92,961180,58,0,58,0,82108
0,961051,92,0,92,0,82084
68,961240,88,0,88,0,82120
68,961240,83,0,83,0,82120
0,961341,93,0,93,0,82112
20,960623,93,0,93,0,82040
0,960859,93,0,93,0,82066
0,960859,95,0,95,0,82066
4,961269,95,0,95,0,82092
0,961239,97,0,97,0,82106
0,961239,98,0,98,0,82106
6,961175,95,0,95,0,82118
0,961122,210,0,210,0,82090
464,961177,309,0,309,0,82106
464,961177,281,0,281,0,82106
0,961125,293,0,293,0,82092
24,960760,274,0,274,0,82076
24,960760,259,0,259,0,82076
0,961381,261,0,261,0,82132
4,960990,251,0,251,0,82078
0,961153,251,0,251,0,82104
0,961153,263,0,263,0,82104
24,961133,261,0,261,0,82104
0,959904,264,0,264,0,81994
0,959904,264,0,264,0,81994
6,961105,261,0,261,0,82106
0,961010,336,0,336,0,82064
150,961246,244,0,244,0,82090
150,961246,104,0,104,0,82090
0,961170,110,0,110,0,82122
12,961108,101,0,101,0,82108
12,961108,98,0,98,0,82108
0,961236,100,0,100,0,82118
4,960873,98,0,98,0,82082
0,961186,98,0,98,0,82112
0,961186,103,0,103,0,82112
10,961272,91,0,91,0,82114
0,961139,91,0,91,0,82108
0,961139,92,0,92,0,82108
2,961136,89,0,89,0,82120
0,961075,156,0,156,0,82100
0,961075,192,0,192,0,82100
206,961092,117,0,117,0,82118
0,960991,295,0,295,0,82100
356,960672,293,0,293,0,82072
356,960672,289,0,289,0,82072
0,961118,292,0,292,0,82094
6,961313,290,0,290,0,82114
0,960746,290,0,290,0,82060
0,960746,293,0,293,0,82060
6,961349,288,0,288,0,82124
0,961257,289,0,289,0,82084
0,961257,289,0,289,0,82084
2,961175,288,0,288,0,82098
0,961064,380,0,380,0,82086
192,961021,347,0,347,0,82078
192,961021,281,0,281,0,82078
0,961170,298,0,298,0,82088
34,961137,159,0,159,0,82100
34,961137,120,0,120,0,82100
0,961229,123,0,123,0,82086
6,961133,120,0,120,0,82104
0,961185,120,0,120,0,82084
0,961185,128,0,128,0,82084
16,960903,125,0,125,0,82082
0,961244,125,0,125,0,82096
0,961244,127,0,127,0,82096
4,961153,126,0,126,0,82090
0,960940,240,0,240,0,82072
276,960894,232,0,232,0,82076
276,960894,168,0,168,0,82076
0,961127,180,0,180,0,82100
24,961261,170,0,170,0,82100
24,961261,163,0,163,0,82100
0,961181,164,0,164,0,82102
2,961202,161,0,161,0,82102
2,961202,161,0,161,0,82102
0,960977,161,0,161,0,82076
0,961243,153,0,153,0,82102
0,961065,153,0,153,0,82100
0,961065,154,0,154,0,82100
2,961308,152,0,152,0,82104
0,960890,235,0,235,0,82080
180,961196,197,0,197,0,82098
180,961196,104,0,104,0,82098
0,961141,112,0,112,0,82082
16,961072,103,0,103,0,82098
16,961072,100,0,100,0,82098
0,961063,105,0,105,0,82092
10,960993,104,0,104,0,82080
0,961356,104,0,104,0,82088
0,961356,106,0,106,0,82088
4,960819,106,0,106,0,82060
0,961314,106,0,106,0,82094
0,961314,106,0,106,0,82094
0,961159,105,0,105,0,82094
0,961207,183,0,183,0,82078
742,960490,444,0,444,0,82054
742,960490,386,0,386,0,82054
0,961080,397,0,397,0,82110
22,961025,393,0,393,0,82108
22,961025,389,0,389,0,82108
0,960827,391,0,391,0,82086
4,961432,386,0,386,0,82138
0,961152,400,0,400,0,82110
0,961098,398,0,398,0,82108
2,960898,399,0,399,0,82092
2,960898,399,0,399,0,82092
0,961425,514,0,514,0,82140
230,961048,143,0,143,0,82090
0,961243,151,0,151,0,82102
16,961069,140,0,140,0,82096
0,961119,142,0,142,0,82102
4,961135,140,0,140,0,82092
0,961318,140,0,140,0,82104
0,961318,142,0,142,0,82104
4,961039,128,0,128,0,82076
0,961081,128,0,128,0,82090
0,961081,129,0,129,0,82090
2,961267,128,0,128,0,82104
0,960885,193,0,193,0,82070
130,961168,156,0,156,0,82100
130,961168,78,0,78,0,82100
0,960477,125,0,125,0,82032
94,961276,119,0,119,0,82110
94,961276,117,0,117,0,82110
0,960915,120,0,120,0,82076
6,961207,118,0,118,0,82112
0,961234,118,0,118,0,82096
0,961234,119,0,119,0,82096
2,960742,117,0,117,0,82050
0,961582,119,0,119,0,82128
4,959599,119,0,119,0,81970
4,959599,118,0,118,0,81970
