cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps
158,1038766,65228,65228,0,0,106368
28,949320,65246,65246,0,0,97210
70,1025546,65319,65319,0,0,105016
148,1032241,65356,65356,0,0,105702
76,1039164,65425,65425,0,0,106410
76,1039164,65439,65439,0,0,106410
96,1033804,65450,65450,0,0,105862
156,1044171,65531,65531,0,0,106924
156,1044171,65531,65531,0,0,106924
0,1041039,65531,65531,0,0,106602
4,1041898,65533,65533,0,0,106690
0,1034171,65533,65533,0,0,105900
0,1034171,65533,65533,0,0,105900
0,1033304,65533,65533,0,0,105810
0,1042914,65531,65531,0,0,106794
6,1033804,65531,65531,0,0,105862
6,1033804,65531,65531,0,0,105862
0,1032398,65531,65531,0,0,105718
0,1022601,65531,65531,0,0,104714
0,1022601,65531,65531,0,0,104714
0,1046351,65529,65529,0,0,107146
0,1040828,65529,65529,0,0,106580
0,1051569,65529,65529,0,0,107682
0,1051569,65529,65529,0,0,107682
0,1041484,65534,65534,0,0,106648
10,1041304,65534,65534,0,0,106630
0,1038437,65533,65533,0,0,106336
0,1038437,65532,65532,0,0,106336
0,1043125,65532,65532,0,0,106816
0,1041171,65532,65532,0,0,106616
4,1036953,65529,65529,0,0,106184
4,1036953,65529,65529,0,0,106184
0,1024969,65529,65529,0,0,104956
0,1010733,65529,65529,0,0,103500
0,1016687,65529,65529,0,0,104108
0,1025991,65529,65529,0,0,105062
0,1025991,65531,65531,0,0,105062
4,1030781,65536,65536,0,0,105552
10,1028179,65536,65536,0,0,105286
0,1029939,65536,65536,0,0,105466
0,1019405,65536,65536,0,0,104388
0,1019405,65536,65536,0,0,104388
0,1024609,65536,65536,0,0,104920
0,1015265,65536,65536,0,0,103964
0,1015265,65536,65536,0,0,103964
0,1034688,65536,65536,0,0,105954
0,1041250,65536,65536,0,0,106624
0,1041250,65536,65536,0,0,106624
0,1038359,65535,65535,0,0,106328
0,1029765,65535,65535,0,0,105448
0,1030474,65535,65535,0,0,105522
0,1030474,65535,65535,0,0,105522
0,1035485,65535,65535,0,0,106032
0,1021233,65535,65535,0,0,104576
0,1029031,65535,65535,0,0,105372
0,1029031,65535,65535,0,0,105372
0,1025156,65535,65535,0,0,104976
0,1042687,65535,65535,0,0,106772
2,1036015,65536,65536,0,0,106088
2,1036015,65536,65536,0,0,106088
0,1038984,65536,65536,0,0,106392
