cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps
3256,748984,196006,65470,65000,65536,153580
1178,749474,195709,65367,64806,65536,151002
2504,740243,196263,65536,65191,65536,152624
2504,740243,196261,65536,65189,65536,152624
0,749131,195962,65536,64890,65536,150676
3186,739211,196388,65536,65316,65536,152128
444,749380,196097,65536,65025,65536,151242
444,749380,196317,65536,65246,65536,151242
2236,749329,196581,65536,65509,65536,152936
0,749666,195108,65536,64036,65536,150924
0,749666,196582,65536,65510,65536,150924
6146,743636,196570,65524,65510,65536,154062
340,732368,194257,65524,63197,65536,147926
5336,732211,196432,65369,65527,65536,153310
5336,732211,196575,65512,65527,65536,153310
510,737592,196310,65512,65262,65536,147634
2096,738362,196570,65512,65522,65536,150040
218,737188,195878,65524,64818,65536,149826
3296,739544,196581,65524,65521,65536,152384
3296,739544,196597,65536,65525,65536,152384
32,663145,196229,65536,65157,65536,147988
5424,631064,196488,65497,65455,65536,152068
4,645980,193433,65475,62422,65536,149838
6792,659946,196039,65475,65028,65536,156580
6792,659946,196434,65475,65423,65536,156580
1870,595075,191525,65536,60453,65536,149320
7696,566707,194573,65464,63573,65536,151512
6804,571800,190328,65464,59328,65536,151800
4562,510469,192871,65140,62195,65536,142688
5186,501362,189935,65113,59283,65536,143908
5186,501362,191386,65113,60738,65536,143908
9348,539357,193727,65038,63153,65536,150884
6176,571722,189653,65461,58656,65536,151860
7286,579497,192102,65461,61106,65536,152934
8612,580516,188280,65536,57208,65536,154570
8429,565200,191010,65536,59938,65536,151622
11642,588991,187095,65480,56079,65536,157184
8126,573681,190043,65446,59062,65536,152976
11989,575090,188906,65454,57916,65536,156995
9871,584682,188929,65454,57940,65536,156360
9871,584682,192837,65454,61847,65536,156360
11278,576518,190561,65536,59489,65536,156375
6571,578191,191019,65536,59947,65536,152944
11460,573840,187825,65536,56753,65536,156557
7862,568112,190269,65536,59197,65536,151792
11228,571632,186852,65536,55780,65536,156074
6920,568606,189409,65536,58337,65536,152299
6920,568606,193510,65536,62438,65536,152299
11325,573809,187838,65376,56927,65536,156288
4866,574713,191195,65376,60283,65536,151701
11592,574054,188256,65498,57222,65536,156038
5456,562334,188685,65465,57684,65536,150009
11673,568826,190812,65465,59811,65536,154445
11673,568826,188636,65417,57683,65536,154445
5509,589272,190770,65417,59817,65536,153434
11720,575758,187094,65536,56023,65536,157121
5248,574148,190541,65536,59469,65536,150378
11729,569438,187084,65536,56012,65536,150756
5238,567254,189486,65536,58414,65536,150808
11669,572344,186354,65536,55282,65536,156281
6085,572490,188465,65536,57393,65536,152141
5308,569282,188689,65536,57617,65536,150391
4754,569493,189090,65474,58080,65536,150147
4754,569493,192047,65474,61037,65536,150147
5690,567428,187186,65536,56114,65536,150131
5690,567428,191496,65520,60440,65536,150131
5312,570066,189678,65520,58622,65536,150527
11422,567310,187890,65536,56818,65536,155754
5430,572692,189835,65536,58763,65536,151591
11704,569678,188112,65536,57040,65536,156135
5277,571987,189779,65536,58707,65536,151477
12284,614133,187782,65536,56709,65536,158985
5446,663894,190762,65536,59691,65536,156282
10313,649655,186979,65536,55907,65536,158991
8161,649705,190521,65536,59449,65536,156461
8161,649705,192938,65536,61866,65536,156461
5663,718367,190917,65536,59845,65536,155393
11958,706958,192872,65536,61800,65536,152873
6273,754826,192871,65478,61857,65536,159030
5703,741291,195202,65478,64188,65536,155480
6850,748988,191630,65448,60646,65536,163450
5059,743402,194730,65499,63695,65536,165484
5059,743402,196297,65491,65270,65536,165484
9282,737271,196307,65446,65325,65536,168134
9282,737271,196291,65446,65309,65536,168134
0,742073,196371,65491,65344,65536,159386
2714,742248,196338,65491,65311,65536,164228
20,645068,195460,65491,64433,65536,153026
20,645068,194844,65536,63772,65536,153026
2456,666306,196470,65536,65398,65536,157031
2000,737946,192061,65536,60989,65536,160145
9299,678776,196306,65399,65371,65536,158992
4156,744172,194908,65399,63973,65536,162038
5940,733045,196187,65392,65259,65536,163944
5940,733045,196303,65371,65396,65536,163944
274,734113,193743,65508,62699,65536,160682
4142,733099,196345,65498,65311,65536,164363
3572,739485,192396,65517,61343,65536,158277
7633,735553,196372,65517,65319,65536,160350
713,743187,195584,65488,64561,65536,162172
713,743187,196414,65483,65395,65536,162172
4796,740688,196376,65483,65357,65536,165498
6,742277,196353,65536,65281,65536,158310
4344,740848,196457,65536,65385,65536,165482
0,744149,195618,65536,64546,65536,162970
0,744149,196523,65536,65451,65536,162970
4334,745743,196519,65536,65447,65536,166680
0,698797,194252,65536,63180,65536,158380
10180,655515,196435,65526,65373,65536,161684
12,646024,194500,65526,63438,65536,153864
6760,664833,195267,65499,64232,65536,160442
6760,664833,196343,65488,65319,65536,160442
2174,736982,194609,65525,63548,65536,163276
6378,738080,196322,65523,65263,65536,166416
2336,728965,194465,65534,63395,65536,161932
5656,740995,194745,65534,63675,65536,165892
5656,740995,196314,65534,65244,65536,165892
3342,662137,196237,65536,65165,65536,157550
5778,705263,196429,65536,65357,65536,161664
36,694038,195250,65528,64186,65536,157960
36,694038,196183,65527,65120,65536,157960
3704,734997,196471,65527,65408,65536,164534
576,739146,194415,65536,63343,65536,159982
3418,736087,196199,65536,65127,65536,160588
