domain,receive_time,serial,seqno,actionflags,is-logging-service,type,subtype,config_ver,time_generated,high_res_timestamp,src,dst,rule,srcloc,dstloc,app,vsys,from,to,inbound_if,outbound_if,time_received,sessionid,repeatcnt,sport,dport,natsport,natdport,flags,flag-pcap,flag-flagged,flag-proxy,flag-url-denied,flag-nat,captive-portal,non-std-dport,transaction,pbf-c2s,pbf-s2c,temporary-match,sym-return,decrypt-mirror,credential-detected,flag-mptcp-set,flag-tunnel-inspected,flag-recon-excluded,flag-wf-channel,proto,action,tunnel,tpadding,cpadding,rule_uuid,s_decrypted,s_encrypted,vpadding,category_of_app,subcategory_of_app,technology_of_app,tunneled_app,risk_of_app,is_saas_of_app,sanctioned_state_of_app,bpadding,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,device_name,vsys_id,tunnelid_imsi,parent_session_id,bytes,bytes_sent,bytes_received,packets,start,elapsed,category,traffic_flags,flag-decrypt-forwarded,flag-l7-skipped,pkts_sent,pkts_received,session_end_reason,action_source,assoc_id,chunks,chunks_sent,chunks_received,http2_connection,link_change_count,sdwan_fec_data,offloaded,tunnelid,imsi,monitortag,imei
1,2025/02/26 18:14:20,021201168048,7475684126817781876,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,211.111.101.212,192.168.10.13,untrunt to trust,Korea Republic Of,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,164968,1,2910,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781875,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,211.60.122.40,192.168.10.13,untrunt to trust,Korea Republic Of,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,110241,1,2906,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781874,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,18.161.7.4,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,29804,1,2909,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781873,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,74.4.140.248,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,53193,1,2904,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781872,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,81.118.164.218,192.168.10.13,untrunt to trust,Italy,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,131215,1,2900,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781871,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,30.93.251.40,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,182473,1,2892,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781870,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,3.175.229.138,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,90109,1,2891,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781869,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,221.60.202.185,192.168.10.13,untrunt to trust,Japan,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,27588,1,2880,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781868,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,68.119.101.21,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,50516,1,2876,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,2025/02/26 18:14:20,021201168048,7475684126817781867,0x0,no,TRAFFIC,end,2562,2025/02/26 18:14:20,2025-02-26T18:14:20.507+07:00,216.116.251.110,192.168.10.13,untrunt to trust,United States,192.168.0.0-192.168.255.255,insufficient-data,vsys1,untrust,trust,ethernet1/4,ethernet1/3,2025/02/26 18:14:20,118163,1,2870,34954,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,insufficient-data,1,no,no,0,0,0,0,0,PA-440,1,0,0,813,813,0,1,2025/02/26 18:14:14,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
