cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
0,1140054,62662,62662,0,0,116742,1
20204,395148,130025,130025,0,0,46488,2
1842,1139585,62107,62107,0,0,116694,1
572,960844,19457,0,0,19457,82718,1
0,253661,51,0,29,22,23544,0
514,960621,19173,0,0,19173,82698,1
4584,1136904,84196,27245,4248,52703,109242,1
0,11537,59,0,29,30,1370,0
2,8643,157,0,95,62,1036,0
636,960745,19828,0,0,19828,82716,1
20266,396508,129423,129423,0,0,46648,2
2860,780003,87367,0,0,87367,68246,2
4194,1143092,74414,32032,2431,39951,109840,1
432,961040,19643,0,0,19643,82740,1
3000,1107579,80875,25452,2050,53373,106108,1
0,961236,70,0,62,8,82422,1
3460,938853,96282,0,0,96282,82146,2
0,14279,68,0,40,28,1664,0
10,721348,196555,65536,65483,65536,146494,1
4938,1111173,70397,21446,2743,46208,105846,1
20176,395148,136233,136233,0,0,46488,2
3158,1073846,76240,22077,2849,51314,101548,1
0,11174,61,0,36,25,1280,0
20268,397868,132061,132061,0,0,46808,2
3212,1079644,70781,20728,2433,47620,102360,1
0,10242,148,0,87,61,1220,0
4284,1154797,83847,30269,3944,49634,111430,1
8,960992,91,0,91,0,82086,2
20172,395794,132625,132625,0,0,46564,2
8,833315,65310,0,0,65310,71756,1
0,233200,60,0,31,29,21688,0
1952,1143515,61690,61690,0,0,117096,1
0,960771,218,0,218,0,82056,2
0,12278,55,0,34,21,1546,0
0,10696,50,0,28,22,1442,0
46,941750,89357,0,0,89357,82398,2
2862,784780,86908,0,0,86908,68664,2
1720,831141,22859,0,0,22859,71570,1
3406,925797,90918,0,0,90918,81004,2
0,8097,49,0,31,18,1002,0
1806,1146328,64523,64523,0,0,117384,1
7854,743178,195676,64971,65169,65536,152680,1
0,244847,57,0,31,26,22776,0
0,7303,86,0,59,27,912,0
0,14076,53,0,30,23,1826,0
20276,395479,134075,134075,0,0,46530,2
1550,833532,8133,0,8133,0,71228,2
0,828272,65325,0,0,65325,71322,1
1838,1147314,61507,61507,0,0,117485,1
0,9620,60,0,39,21,1250,0
462,961115,18754,0,0,18754,82754,1
8,960837,106,0,106,0,82086,2
0,961086,131,0,116,15,82410,1
4,9773,54,0,29,25,1260,0
0,9408,145,0,93,52,1112,0
8,1141773,61432,61432,0,0,116918,1
0,9689,84,0,50,34,1400,0
1522,818675,8168,0,8168,0,69958,2
856,960953,19402,0,0,19402,82726,1
3404,933353,85630,0,0,85630,81664,2
17942,350608,119272,119272,0,0,41248,2
8,1055265,65479,65479,0,0,108060,1
3334,1094879,76649,27157,2712,46780,104438,1
0,960830,46,0,31,15,82360,1
0,961186,110,0,87,23,82418,1
8,12465,62,0,42,20,1744,0
8,198057,70,0,41,29,18798,0
3352,924381,93963,0,0,93963,80880,2
19990,392485,129630,129630,0,0,46174,2
2860,1085168,73260,25578,2035,45647,103464,1
3412,938136,101218,0,0,101218,82084,2
1504,825334,8319,0,8319,0,70528,2
0,961117,110,0,102,8,82446,1
0,11372,157,0,97,60,1364,0
6972,739942,196163,65299,65328,65536,151576,1
2,18491,100,0,60,40,2762,0
6,961158,60,0,60,0,82066,2
0,6038,118,0,74,44,788,0
0,11095,50,0,31,19,1310,0
20054,394219,124202,124203,0,0,46378,2
1500,833305,7827,0,7827,0,71208,2
0,10923,54,0,29,25,1484,0
0,13902,52,0,29,23,1544,0
2924,1080824,74663,23322,3103,48238,102664,1
1140,961831,20416,0,0,20416,82822,1
3376,936334,99337,0,0,99338,81926,2
8,10804,61,0,41,20,1508,0
1934,1145677,60984,60984,0,0,117317,1
12721,663001,190881,65523,59822,65536,162171,1
1888,1141155,61634,61634,0,0,116856,1
3480,946533,101426,0,0,101426,82818,2
0,961120,87,0,87,0,82082,2
20192,396950,133525,133525,0,0,46700,2
232,960560,19955,0,0,19955,82706,1
2,10888,64,0,41,23,1646,0
0,14597,61,0,32,29,2040,0
0,961122,158,0,158,0,82090,2
17876,350608,115237,115238,0,0,41248,2
358,961178,20296,0,0,20296,82768,1
596,960889,18588,0,0,18588,82738,1
0,8718,50,0,32,18,1092,0
0,961120,27039,0,0,27039,82738,1
0,960866,72,0,55,17,82394,1
1774,1153415,60625,60625,0,0,118112,1
8,12393,62,0,40,22,1578,0
10451,509962,186719,65534,55649,65536,154379,1
0,8919,172,0,97,75,1164,0
