domain,receive_time,serial,seqno,actionflags,is-logging-service,type,subtype,config_ver,time_generated,high_res_timestamp,src,dst,rule,srcloc,dstloc,app,vsys,from,to,inbound_if,outbound_if,time_received,sessionid,repeatcnt,sport,dport,natsport,natdport,flags,flag-pcap,flag-flagged,flag-proxy,flag-url-denied,flag-nat,captive-portal,non-std-dport,transaction,pbf-c2s,pbf-s2c,temporary-match,sym-return,decrypt-mirror,credential-detected,flag-mptcp-set,flag-tunnel-inspected,flag-recon-excluded,flag-wf-channel,proto,action,tunnel,tpadding,cpadding,rule_uuid,s_decrypted,s_encrypted,vpadding,category_of_app,subcategory_of_app,technology_of_app,characteristic_of_app,tunneled_app,risk_of_app,is_saas_of_app,sanctioned_state_of_app,bpadding,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,device_name,vsys_id,tunnelid_imsi,parent_session_id,bytes,bytes_sent,bytes_received,packets,start,elapsed,category,traffic_flags,flag-decrypt-forwarded,flag-l7-skipped,pkts_sent,pkts_received,session_end_reason,action_source,assoc_id,chunks,chunks_sent,chunks_received,http2_connection,link_change_count,sdwan_fec_data,offloaded,tunnelid,imsi,monitortag,imei
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,208.147.158.13,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,83532,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,4.235.224.103,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,70826,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,138.239.236.122,192.168.10.12,untrunt to trust,Singapore,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,135371,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,8.222.38.9,192.168.10.12,untrunt to trust,Singapore,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,48306,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,43.25.95.43,192.168.10.12,untrunt to trust,Singapore,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,39247,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,38.239.197.181,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,112940,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,60.240.127.231,192.168.10.12,untrunt to trust,Australia,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,81388,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,147.31.104.224,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,155139,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,58.57.56.95,192.168.10.12,untrunt to trust,China,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,71044,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 13:25,21201168048,7.44147E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 13:25,2024-12-17T13:25:19.048+07:00,29.133.35.88,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 13:25,147723,1,0,0,0,0,0x100019,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,icmp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,general-internet,internet-utility,network-protocol,"has-known-vulnerability,tunnel-other-application,pervasive-use",untunneled,2,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 13:24,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
