domain,receive_time,serial,seqno,actionflags,is-logging-service,type,subtype,config_ver,time_generated,high_res_timestamp,src,dst,rule,srcloc,dstloc,app,vsys,from,to,inbound_if,outbound_if,time_received,sessionid,repeatcnt,sport,dport,natsport,natdport,flags,flag-pcap,flag-flagged,flag-proxy,flag-url-denied,flag-nat,captive-portal,non-std-dport,transaction,pbf-c2s,pbf-s2c,temporary-match,sym-return,decrypt-mirror,credential-detected,flag-mptcp-set,flag-tunnel-inspected,flag-recon-excluded,flag-wf-channel,proto,action,tunnel,tpadding,cpadding,rule_uuid,s_decrypted,s_encrypted,vpadding,category_of_app,subcategory_of_app,technology_of_app,tunneled_app,risk_of_app,is_saas_of_app,sanctioned_state_of_app,bpadding,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,device_name,vsys_id,tunnelid_imsi,parent_session_id,bytes,bytes_sent,bytes_received,packets,start,elapsed,category,traffic_flags,flag-decrypt-forwarded,flag-l7-skipped,pkts_sent,pkts_received,session_end_reason,action_source,assoc_id,chunks,chunks_sent,chunks_received,http2_connection,link_change_count,sdwan_fec_data,offloaded,tunnelid,imsi,monitortag,imei
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,36.7.230.169,192.168.10.12,untrunt to trust,China,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,124159,1,13793,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,192.45.12.132,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,980,1,13791,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,104.102.28.207,192.168.10.12,untrunt to trust,Italy,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,185513,1,13782,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,92.222.232.221,192.168.10.12,untrunt to trust,France,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,55440,1,13780,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,207.135.148.249,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,164589,1,13784,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,58.239.236.229,192.168.10.12,untrunt to trust,Korea Republic Of,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,29383,1,13778,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,72.125.28.7,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,186874,1,13777,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,198.35.230.102,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,148781,1,13768,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,184.120.254.221,192.168.10.12,untrunt to trust,United States,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,58536,1,13761,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
1,12/17/2024 14:16,21201168048,7.44E+18,0x0,no,TRAFFIC,end,2562,12/17/2024 14:16,2024-12-17T14:16:10.897+07:00,181.12.64.213,192.168.10.12,untrunt to trust,Argentina,192.168.0.0-192.168.255.255,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,12/17/2024 14:16,130229,1,13759,5688,0,0,0x19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,tcp,allow,N/A,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,0,unknown,unknown,unknown,incomplete,1,no,no,0,0,0,0,0,PA-440,1,0,0,60,60,0,1,12/17/2024 14:16,0,any,0x0,no,no,1,0,aged-out,from-policy,0,0,0,0,0,0,0,0,0,,0,
