eth_src,eth_dst,eth_type,ip_src,ip_dst,ip_version,ip_ihl,ip_tos,ip_len,ip_id,ip_flags,ip_frag,ip_ttl,ip_proto,ip_chksum,tcp_sport,tcp_dport,tcp_seq,tcp_ack,tcp_dataofs,tcp_reserved,tcp_flags,tcp_window,tcp_chksum,tcp_urgptr,tcp_options,udp_sport,udp_dport,udp_len,udp_chksum,icmp_type,icmp_code,icmp_id,icmp_seq,first_seen,last_seen,packet_count,byte_count,pkt_len_max,pkt_len_min,pkt_len_var,flow_iat,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,flow_duration,packets_per_second,bytes_per_second,payload_max
d8:80:83:ff:a5:d1,3c:f9:f0:65:18:f7,2048,192.168.1.164,40.79.150.121,4,5,0,40,33600,DF,0,128,6,63098,44979.0,443.0,3984758341.0,3009060344.0,5.0,0.0,"[<Flag 2 (S)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 17 (FA)>]",1027.0,42033.0,0.0,[],,,,,,,,,1740288697.146971,1740288698.1065288,17,9426,1494,54,"[66, 54, 571, 491, 54, 1494, 1494, 1494, 1494, 1494, 372, 54, 54, 54, 54, 78, 54]","[0.20684456825256348, 0.0, 0.17023563385009766, 0.3862318992614746, 0.0, 0.0, 0.0, 0.009701728820800781, 0.0, 0.0, 0.18654394149780273, 0.0, 0.0, 0.0, 0.0, 0.0]",0.08723252469843085,0.3862318992614746,0.009701728820800781,0.13119757813649685,1,1,0,4,16,0,0.9595577716827393,17.7164945162059,9823.275135868045,1440
3c:f9:f0:65:18:f8,d8:80:83:ff:a5:d1,2048,184.22.122.20,192.168.1.164,4,5,0,124,59252,DF,0,120,6,9872,55475.0,14072.0,3071675584.0,211405777.0,5.0,0.0,"[<Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 24 (PA)>]",30596.0,15164.0,0.0,[],,,,,,,,,1740288697.1802325,1740288746.3838086,39,7372,1018,60,"[170, 202, 60, 170, 202, 1002, 1018, 938, 954, 60, 60, 60, 60, 60, 60, 60, 74, 74, 60, 154, 60, 138, 60, 138, 170, 60, 234, 154, 154, 60, 60, 60, 60, 60, 74, 74, 60, 60, 138]","[0.15382170677185059, 0.09002876281738281, 0.009991645812988281, 0.0, 0.27008986473083496, 0.0, 0.020020008087158203, 0.0, 0.7059915065765381, 1.991814374923706, 0.9956245422363281, 0.9841582775115967, 6.024677991867065, 1.0041897296905518, 0.9888472557067871, 1.8593273162841797, 0.4524722099304199, 0.06218457221984863, 1.5957531929016113, 0.0161740779876709, 0.0010371208190917969, 0.016657352447509766, 0.04860663414001465, 9.486629247665405, 0.015689849853515625, 0.0, 0.0, 0.015288591384887695, 0.04715323448181152, 5.1788554191589355, 0.24855685234069824, 0.2522268295288086, 0.25960659980773926, 12.30958890914917, 0.4351215362548828, 0.06249737739562988, 3.569650888442993, 0.03124260902404785]",1.2948309496829384,12.30958890914917,0.0010371208190917969,2.6953074816746794,0,0,0,20,39,0,49.20357608795166,0.7926253150845639,149.8265082770104,964
d8:80:83:ff:a5:d1,3c:f9:f0:65:18:f7,2048,192.168.1.164,184.22.122.20,4,5,0,40,5937,DF,0,128,6,61223,14072.0,55475.0,211405777.0,3071675668.0,5.0,0.0,"[<Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>]",29792.0,39611.0,0.0,[],,,,,,,,,1740288697.3340542,1740288746.4150546,44,9176,730,54,"[54, 170, 54, 54, 170, 170, 170, 170, 170, 170, 170, 74, 54, 74, 154, 138, 218, 138, 138, 54, 170, 154, 234, 154, 154, 54, 618, 634, 170, 186, 170, 186, 170, 186, 698, 234, 730, 650, 666, 74, 54, 74, 138, 54]","[0.019761323928833008, 0.17023563385009766, 0.2001333236694336, 0.7059915065765381, 1.9295592308044434, 0.9944641590118408, 1.0007071495056152, 6.0087714195251465, 1.0070972442626953, 1.00154447555542, 1.8912322521209717, 0.06237435340881348, 0.4675459861755371, 1.593313455581665, 0.0029921531677246094, 0.015621662139892578, 0.017694473266601562, 0.0, 0.04860663414001465, 9.471023082733154, 0.015606164932250977, 0.015689849853515625, 0.0, 0.0, 0.07813739776611328, 5.142657041549683, 0.0, 0.020502805709838867, 0.0, 0.2318730354309082, 0.0, 0.26690101623535156, 0.0010106563568115234, 0.24086952209472656, 0.0, 0.0, 0.019736051559448242, 0.0, 12.294428586959839, 0.06017327308654785, 0.390108585357666, 3.632148265838623, 0.062488555908203125]",1.1414186122805574,12.294428586959839,0.0010106563568115234,2.5614623799299894,0,0,0,36,44,0,49.081000328063965,0.8964772458975595,186.95625473536379,676
3c:f9:f0:65:18:f7,d8:80:83:ff:a5:d1,2048,40.79.150.121,192.168.1.164,4,5,40,40,59859,DF,0,111,6,41151,443.0,44979.0,3009060344.0,3984758342.0,5.0,0.0,"[<Flag 18 (SA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 25 (FPA)>, <Flag 16 (A)>, <Flag 16 (A)>]",16385.0,26675.0,0.0,[],,,,,,,,,1740288697.3340542,1740288698.2616074,13,5913,1506,54,"[66, 153, 1506, 1506, 1506, 230, 157, 54, 54, 54, 519, 54, 54]","[0.18999695777893066, 0.2001333236694336, 0.18609857559204102, 0.0, 0.0, 0.009701728820800781, 0.18654394149780273, 0.0, 0.0, 0.0, 0.0, 0.15507864952087402]",0.07729609807332356,0.2001333236694336,0.009701728820800781,0.0944028037459912,1,1,0,4,13,0,0.9275531768798828,14.015368955696529,6374.836664233351,1452
0a:c4:a8:38:8c:42,01:00:5e:00:00:fb,2048,192.168.1.104,224.0.0.251,4,5,0,215,17083,,0,255,17,54606,,,,,,,[],,,,,5353.0,5353.0,195.0,53047.0,,,,,1740288698.2616074,1740288746.7906713,48,15006,765,100,"[335, 100, 229, 229, 335, 229, 178, 385, 474, 511, 178, 335, 100, 229, 229, 229, 335, 385, 511, 511, 178, 335, 100, 229, 229, 229, 335, 385, 511, 511, 335, 422, 511, 765, 178, 335, 100, 229, 229, 229, 335, 385, 511, 511, 178, 335, 100, 229]","[0.1998274326324463, 0.30462026596069336, 0.3194873332977295, 0.09361433982849121, 0.11009645462036133, 0.19906163215637207, 0.10936427116394043, 0.2034451961517334, 0.7146613597869873, 0.2971038818359375, 8.509990692138672, 0.20179963111877441, 0.3122103214263916, 0.3023545742034912, 0.21041202545166016, 0.022662878036499023, 0.17137408256530762, 0.10937356948852539, 1.019012689590454, 0.3124997615814209, 2.86279296875, 0.10926961898803711, 0.30749940872192383, 0.30292606353759766, 0.20978212356567383, 0.09203767776489258, 0.10939836502075195, 0.3122081756591797, 0.8175761699676514, 0.7120571136474609, 1.1280176639556885, 0.19661331176757812, 2.672379970550537, 4.7049102783203125, 8.191783905029297, 0.21011948585510254, 0.3080785274505615, 0.29982566833496094, 0.20728516578674316, 0.11260080337524414, 0.09594511985778809, 0.09962725639343262, 1.018864393234253, 0.3099818229675293, 9.00764775276184, 0.10937261581420898, 0.29749011993408203]",1.0325332753201748,9.00764775276184,0.022662878036499023,2.160983197563402,0,0,0,0,0,0,48.52906394004822,0.9890979982490119,309.21676170259735,0
c4:82:e1:17:b0:0a,ff:ff:ff:ff:ff:ff,2048,192.168.1.133,255.255.255.255,4,5,0,290,49988,,0,255,17,13657,,,,,,,[],,,,,62192.0,6667.0,270.0,40920.0,,,,,1740288699.8011243,1740288744.8543315,10,3040,304,304,"[304, 304, 304, 304, 304, 304, 304, 304, 304, 304]","[5.011102914810181, 5.024662971496582, 4.900717735290527, 5.02564263343811, 5.0189173221588135, 5.014688491821289, 5.127095699310303, 4.916511297225952, 5.013868093490601]",5.005911906560262,5.127095699310303,4.900717735290527,0.06597453583010991,0,0,0,0,0,0,45.05320715904236,0.2219597811249928,67.4757734619978,262
28:87:ba:66:6c:19,d8:80:83:ff:a5:d1,2048,192.168.1.153,192.168.1.164,4,5,0,40,16840,DF,0,128,6,13434,60098.0,7680.0,4023648579.0,2917892102.0,5.0,0.0,"[<Flag 2 (S)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 17 (FA)>]",255.0,634.0,0.0,[],,,,,,,,,1740288712.5619671,1740288712.7312877,5,357,129,54,"[66, 54, 129, 54, 54]","[0.0, 0.0, 0.015429019927978516, 0.15389156341552734]",0.042330145835876465,0.15389156341552734,0.015429019927978516,0.07472907279068602,1,1,0,1,4,0,0.16932058334350586,29.52978250645609,2108.426470960965,75
d8:80:83:ff:a5:d1,28:87:ba:66:6c:19,2048,192.168.1.164,192.168.1.153,4,5,0,40,10472,DF,0,128,6,19802,7680.0,60098.0,2917892102.0,4023648580.0,5.0,0.0,"[<Flag 18 (SA)>, <Flag 24 (PA)>, <Flag 17 (FA)>, <Flag 16 (A)>]",8195.0,58229.0,0.0,[],,,,,,,,,1740288712.5619671,1740288712.7312877,4,303,129,54,"[66, 129, 54, 54]","[0.0, 0.015429019927978516, 0.15389156341552734]",0.05644019444783529,0.15389156341552734,0.015429019927978516,0.08474721617399848,1,1,0,1,4,0,0.16932058334350586,23.623826005164872,1789.504819891239,75
28:87:ba:66:6c:19,ff:ff:ff:ff:ff:ff,2048,192.168.1.153,192.168.1.255,4,5,0,72,48433,,0,128,17,63626,,,,,,,[],,,,,57621.0,57621.0,52.0,37886.0,,,,,1740288712.996881,1740288746.0748096,3,258,86,86,"[86, 86, 86]","[3.1845195293426514, 29.89340901374817]",16.53896427154541,29.89340901374817,3.1845195293426514,18.886036872385212,0,0,0,0,0,0,33.07792854309082,0.09069491749133812,7.799762904255078,44
b8:cc:5f:e0:ad:a8,ff:ff:ff:ff:ff:ff,2048,192.168.1.106,192.168.1.255,4,5,0,48,0,DF,0,64,17,46595,,,,,,,[],,,,,40917.0,7721.0,28.0,670.0,,,,,1740288713.106253,1740288713.106253,1,62,62,62,[62],[],0.0,0.0,inf,0.0,0,0,0,0,0,0,0.0,0.0,0.0,20
