cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
0,7995,96,0,66,30,960,0
1870,595075,191525,65536,60453,65536,149320,1
8,14492,117,0,74,43,1692,0
0,11060,66,0,44,22,1304,0
0,235517,145,0,88,57,21812,0
0,14352,87,0,54,33,1600,0
0,10279,159,0,92,67,1178,0
5778,705263,196429,65536,65357,65536,161664,1
4188,1090278,77106,23611,3037,50458,103718,2
456,749258,195280,65474,64270,65536,159622,1
9653,563976,187409,65386,56487,65536,150969,1
0,11306,65,0,40,25,1308,0
4132,1121886,82136,23948,2785,55403,107080,2
0,11178,56,0,34,22,1370,0
3934,1115361,82956,25857,3533,53565,107008,2
10,13018,86,0,54,32,1664,0
5212,1188226,77839,27168,2738,47933,115720,2
3466,1106405,81073,28376,3254,49443,105494,2
8140,650172,189276,65090,58651,65536,163504,1
6,742277,196353,65536,65281,65536,158310,1
11722,566122,190066,65389,59141,65536,159381,1
6214,745557,194687,65526,63625,65536,149616,1
0,661329,192709,65490,61683,65536,157646,1
3542,1093585,82579,24526,3685,54368,103698,2
0,11869,76,0,44,32,1378,0
0,9611,54,0,30,24,1208,0
3272,1091313,80428,23666,4221,52541,103850,2
0,11673,58,0,30,28,1586,0
7584,578540,186912,65359,56017,65536,157860,1
50,741573,195326,65536,64254,65536,157784,1
4376,1147565,88883,28255,4969,55659,109834,2
4598,663818,196182,65470,65176,65536,162306,1
9161,550398,191577,65519,60522,65536,145892,1
0,741105,195990,65536,64918,65536,161302,1
0,240087,68,0,41,27,22416,0
0,11095,50,0,31,19,1310,0
8,14591,77,0,45,32,1730,0
6184,1180935,82620,25331,3803,53486,114080,2
3170,1128123,87072,26309,4407,56356,107848,2
4638,1153170,88290,33628,4254,50408,111340,2
5110,570949,189847,65493,58818,65536,147417,1
6416,1194459,81412,25781,3152,52479,115468,2
8420,669463,194631,65202,63893,65536,148372,1
0,8288,57,0,34,23,1414,0
5388,1245580,76102,24816,2166,49120,120944,2
0,12980,73,0,45,28,1894,0
0,11222,56,0,34,22,1382,0
0,14060,52,0,31,21,1814,0
5654,1159371,68679,22950,2014,43715,111338,2
4630,1117365,85776,25192,4473,56111,106824,2
5412,1162187,90780,27186,4974,58620,112028,2
0,7028,53,0,29,24,1118,0
0,13142,71,0,41,30,1512,0
0,9305,53,0,30,23,1550,0
0,9676,140,0,90,50,1250,0
4325,1156875,83218,29322,4036,49861,111564,2
6704,1187407,83599,21840,3698,58062,114882,2
6110,651719,193482,65496,62450,65536,159628,1
5426,1169151,84365,28538,4226,51601,112656,2
0,9919,55,0,30,25,1564,0
0,10993,47,0,29,18,1266,0
12662,626156,187236,65536,56163,65536,159582,1
0,6889,86,0,59,27,992,0
5526,1163649,80774,21887,2549,56338,112036,2
3470,1070502,84899,24893,3779,56227,101084,2
6734,1229464,88037,28308,4572,55157,118948,2
4302,1127820,86625,25698,4199,56728,107932,2
3328,1108664,90689,27204,4057,59428,105950,2
4,16755,78,0,44,34,2304,0
0,8014,52,0,29,23,1004,0
0,743461,196510,65536,65438,65536,151496,1
4438,1101202,83878,23301,3467,57110,104468,2
