cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
0,15673,74,0,49,25,1800,0
0,13466,56,0,34,22,1670,0
0,14895,63,0,40,23,1724,0
0,12066,67,0,42,25,1542,0
12,11494,65,0,39,26,1512,0
2,8946,96,0,53,43,1040,0
0,9146,78,0,47,31,1120,0
0,253024,48,0,29,19,23534,0
0,11185,51,0,32,19,1328,0
0,14153,67,0,38,29,1930,0
2,18181,62,0,40,22,2536,0
0,242288,59,0,34,25,22516,0
0,14040,59,0,30,29,1770,0
0,9689,84,0,50,34,1400,0
0,13253,50,0,28,22,1582,0
0,13477,66,0,43,23,1994,0
0,10078,143,0,92,51,1658,0
0,12365,48,0,28,20,1606,0
0,12292,64,0,43,21,1436,0
0,14322,48,0,29,19,1674,0
2,11941,54,0,37,17,1390,0
0,233723,78,0,49,29,21728,0
0,12052,97,0,67,30,1404,0
8,14492,117,0,74,43,1692,0
2,11357,53,0,33,20,1382,0
0,13016,63,0,41,22,1648,0
0,7752,96,0,66,30,1178,0
8,11696,75,0,45,30,1462,0
0,86816,54,0,32,22,8400,0
0,11775,46,0,29,17,1416,0
0,256305,61,0,39,22,24290,0
8,9586,86,0,54,32,1262,0
0,7176,172,0,97,75,950,0
0,12011,63,0,33,30,1434,0
0,13435,73,0,48,25,1682,0
0,190841,85,0,56,29,17856,0
2,101554,49,0,30,19,9978,0
0,9816,53,0,30,23,1448,0
6,12576,58,0,33,25,1502,0
0,25966,118,0,75,43,2682,0
8,200026,65,0,43,22,18782,0
0,10292,75,0,43,32,1496,0
0,193097,65,0,40,25,18034,0
0,10775,56,0,28,28,1248,0
0,12315,56,0,31,25,1510,0
0,9297,49,0,28,21,1166,0
0,15091,99,0,58,41,1682,0
0,13000,73,0,44,29,1662,0
0,14742,75,0,43,32,1730,0
0,13333,72,0,43,29,1604,0
0,218055,60,0,41,19,20486,0
0,13588,85,0,51,34,1698,0
2,15996,97,0,67,30,1830,0
10,12809,66,0,41,25,1728,0
0,12232,66,0,43,23,1450,0
0,14002,48,0,28,20,1524,0
2,12781,45,0,28,17,1620,0
0,12620,68,0,41,27,1678,0
0,9955,138,0,90,48,1320,0
0,224224,66,0,43,23,20918,0
2,12904,158,0,92,66,1542,0
0,9865,60,0,38,22,1198,0
8,9146,77,0,47,30,1278,0
0,11344,56,0,34,22,1748,0
0,10737,81,0,52,29,1422,0
0,11038,56,0,32,24,1304,0
2,8621,97,0,67,30,1132,0
0,13235,75,0,45,30,1914,0
0,13182,60,0,41,19,1536,0
0,12612,68,0,41,27,1438,0
0,7883,58,0,33,25,1320,0
0,258146,57,0,34,23,23946,0
0,12126,77,0,45,32,1964,0
0,217269,57,0,34,23,20208,0
0,8689,54,0,30,24,1114,0
0,11778,63,0,41,22,1376,0
0,111382,55,0,32,23,10530,0
0,13003,73,0,45,28,1500,0
8,52406,87,0,60,27,5470,0
0,12412,49,0,31,18,1586,0
0,6889,86,0,59,27,992,0
0,12904,48,0,28,20,1688,0
4,212776,66,0,43,23,20034,0
0,9064,65,0,42,23,1198,0
0,9970,58,0,30,28,1238,0
0,10292,55,0,31,24,1232,0
0,237512,66,0,41,25,22182,0
2,13772,156,0,95,61,1912,0
8,9287,101,0,58,43,1180,0
2,19479,63,0,31,32,2724,0
0,8881,57,0,38,19,1054,0
0,11564,100,0,57,43,1410,0
0,246272,54,0,29,25,22842,0
0,8803,55,0,33,22,1096,0
0,10081,47,0,30,17,1138,0
0,10625,58,0,35,23,1304,0
0,13529,82,0,51,31,1492,0
0,11912,56,0,34,22,1466,0
0,11200,85,0,51,34,1336,0
0,11213,81,0,52,29,1268,0
0,8523,53,0,30,23,1068,0
0,6038,118,0,74,44,788,0
2,10014,86,0,54,32,1194,0
6,16351,61,0,37,24,2104,0
8,8328,56,0,30,26,1126,0
0,10765,56,0,32,24,1248,0
0,15073,75,0,45,30,2072,0
0,14140,60,0,32,28,1620,0
0,12809,142,0,93,49,1476,0
8,12296,75,0,42,33,1516,0
8,5094,102,0,68,34,796,0
10,9145,81,0,49,32,1136,0
0,182745,75,0,43,32,17652,0
0,8099,72,0,41,31,1070,0
0,5905,59,0,32,27,796,0
0,8037,99,0,67,32,1112,0
2,12605,143,0,93,50,1700,0
0,13743,168,0,97,71,2328,0
0,10674,58,0,34,24,1252,0
0,7949,142,0,92,50,972,0
0,10305,60,0,32,28,1290,0
0,16340,62,0,31,31,2024,0
0,10977,67,0,40,27,1272,0
0,8795,50,0,28,22,1082,0
0,229301,83,0,51,32,21610,0
0,13646,58,0,30,28,1610,0
0,8991,56,0,32,24,1136,0
0,15563,57,0,40,17,1758,0
8,10190,72,0,42,30,1388,0
2,12512,56,0,34,22,1504,0
0,241841,84,0,52,32,22700,0
0,7686,60,0,37,23,1032,0
2,9410,60,0,34,26,1184,0
10,7064,101,0,61,40,1118,0
2,10980,86,0,54,32,1664,0
0,13420,75,0,47,28,1526,0
8,11509,78,0,45,33,1476,0
0,8588,61,0,41,20,1056,0
0,12711,59,0,32,27,1632,0
0,10560,51,0,30,21,1322,0
0,11946,60,0,38,22,1550,0
0,15627,60,0,39,21,1770,0
4,233855,62,0,38,24,21912,0
0,7548,167,0,97,70,878,0
4,10752,57,0,33,24,1294,0
