Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,,Sequence Number,Action Flags,Source Country,Destination Country,,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received,UUID for rule,HTTP/2 Connection,link_change_count,policy_id,link_switches,sdwan_cluster,sdwan_device_type,sdwan_cluster_type,sdwan_site,dynusergroup_name,XFF address,Source Device Category,Source Device Profile,Source Device Model,Source Device Vendor,Source Device OS Family,Source Device OS Version,Source Hostname,Source Mac Address,Destination Device Category,Destination Device Profile,Destination Device Model,Destination Device Vendor,Destination Device OS Family,Destination Device OS Version,Destination Hostname,Destination Mac Address,Container ID,POD Namespace,POD Name,Source External Dynamic List,Destination External Dynamic List,Host ID,Serial Number,Source Dynamic Address Group,Destination Dynamic Address Group,session_owner,High Res Timestamp,nssai_sst,nssai_sd,Subcategory of app,Category of app,Technology of app,Risk of app,Characteristic of app,Container of app,Tunneled app,SaaS of app,Sanctioned State of app,offloaded
1,2025/03/03 13:43:36,021201168048,TRAFFIC,end,2562,2025/03/03 13:43:36,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:43:36,171626,65536,0,0,0,0,0x100019,icmp,allow,231284340,115646580,115637760,3854739,2025/03/03 13:42:58,25,any,,7477469115225997322,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,1927443,1927296,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:43:36.508+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 13:43:06,021201168048,TRAFFIC,end,2562,2025/03/03 13:43:06,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:43:06,8474,65536,0,0,0,0,0x100019,icmp,allow,77037720,38529900,38507820,1283962,2025/03/03 13:42:46,8,any,,7477469115225997321,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,642165,641797,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:43:06.506+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 13:43:06,021201168048,TRAFFIC,start,2562,2025/03/03 13:43:06,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:43:06,73472,65536,0,0,2048,0,0x100000,icmp,allow,3932160,3932160,0,65536,2025/03/03 13:42:57,0,any,,7477469115225997320,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,65536,0,n/a,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:43:06.506+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 13:42:56,021201168048,TRAFFIC,end,2562,2025/03/03 13:42:56,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:42:56,60772,65536,0,0,0,0,0x100019,icmp,allow,78247920,39140880,39107040,1304132,2025/03/03 13:42:35,9,any,,7477469115225997319,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,652348,651784,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:42:56.505+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 13:42:56,021201168048,TRAFFIC,start,2562,2025/03/03 13:42:56,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:42:56,105117,65536,0,0,2048,0,0x100000,icmp,allow,3932160,3932160,0,65536,2025/03/03 13:42:46,0,any,,7477469115225997318,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,65536,0,n/a,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:42:56.505+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 13:42:46,021201168048,TRAFFIC,end,2562,2025/03/03 13:42:46,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:42:46,84028,13673,0,0,0,0,0x100019,icmp,allow,5946360,2973180,2973180,99106,2025/03/03 13:42:31,2,any,,7477469115225997317,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,49553,49553,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:42:46.504+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 13:42:41,021201168048,TRAFFIC,end,2562,2025/03/03 13:42:41,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:42:41,165846,117399,0,0,0,0,0x100019,icmp,allow,60111720,30055860,30055860,1001862,2025/03/03 13:42:25,3,any,,7477469115225997316,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,500931,500931,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:42:41.504+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 13:42:41,021201168048,TRAFFIC,start,2562,2025/03/03 13:42:41,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:42:41,13618,131072,0,0,2048,0,0x100000,icmp,allow,7864320,7864320,0,131072,2025/03/03 13:42:30,0,any,,7477469115225997315,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,131072,0,n/a,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:42:41.504+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 13:42:31,021201168048,TRAFFIC,start,2562,2025/03/03 13:42:31,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:42:31,121233,65536,0,0,2048,0,0x100000,icmp,allow,3932160,3932160,0,65536,2025/03/03 13:42:24,0,any,,7477469115225997314,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,65536,0,n/a,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:42:31.503+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
1,2025/03/03 13:40:46,021201168048,TRAFFIC,end,2562,2025/03/03 13:40:46,192.168.11.36,192.168.10.12,,,untrunt to trust,,,ping,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 13:40:46,94872,65536,0,0,0,0,0x100019,icmp,allow,299505180,149762220,149742960,4991753,2025/03/03 13:39:53,38,any,,7477469115225997313,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,2496037,2495716,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,N/A,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T13:40:46.496+07:00,,,internet-utility,general-internet,network-protocol,2,"has-known-vulnerability,tunnel-other-application,pervasive-use",,untunneled,no,no,0
