cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label,tcp_to_udp,tcp_to_icmp,pps_to_cps,kbps_to_pps,kbps_to_cps
0,960996,85,0,63,22,82450,1,2.8636363636363638,63.0,82450.0,11.655500303214069,960996.0
3342,1101579,89770,30099,3447,56224,104628,1,0.061308338076266365,0.11452207714542012,31.307001795332138,10.5285296478954,329.61669658886893
0,752369,196456,65536,65384,65536,159274,1,0.9976806640625,0.9976806640625,159274.0,4.72374022125394,752369.0
1960,1142062,61393,61393,0,0,116948,1,0.0,0.0,59.66734693877551,9.765553921400965,582.684693877551
0,824965,65315,0,0,65315,71038,1,0.0,0.0,71038.0,11.61300993834286,824965.0
0,961039,38,0,31,7,82424,1,4.428571428571429,31.0,82424.0,11.659698631466563,961039.0
3575,1096023,77685,23868,2225,51592,103995,1,0.043126841370755155,0.09322104910340205,29.089510489510488,10.539189384105004,306.57986013986016
5900,567974,189020,65534,57950,65536,155498,1,0.884246826171875,0.8842738120670186,26.35559322033898,3.6526128953427053,96.26677966101695
0,960923,88,0,74,14,82448,1,5.285714285714286,74.0,82448.0,11.654897632447119,960923.0
4907,732684,196361,65536,65289,65536,163347,1,0.9962310791015625,0.9962310791015625,33.28856735276136,4.485445095410384,149.3140411656817
0,961396,108,0,97,11,82432,1,8.818181818181818,97.0,82432.0,11.662897903726709,961396.0
0,960981,58,0,49,9,82438,1,5.444444444444445,49.0,82438.0,11.657014968825056,960981.0
0,960950,56,0,44,12,82386,1,3.6666666666666665,44.0,82386.0,11.66399631005268,960950.0
6342,1221340,84704,30454,4210,50040,118466,1,0.08413269384492406,0.13824128193340776,18.679596341847997,10.309624702446271,192.57962787764112
0,960915,39,0,32,7,82408,1,4.571428571428571,32.0,82408.0,11.66045772255121,960915.0
4216,1156208,85971,27356,4241,54374,110624,1,0.077996836723434,0.1550299751425647,26.23908918406072,10.451692218686723,274.2428842504744
568,961354,20174,0,0,20175,82772,1,0.0,0.0,145.72535211267606,11.614483158556034,1692.524647887324
8,830881,65366,0,0,65366,71548,1,0.0,0.0,8943.5,11.612917202437524,103860.125
664,960930,19380,0,0,19380,82734,1,0.0,0.0,124.59939759036145,11.614692871129161,1447.183734939759
570,961093,19458,0,0,19458,82740,1,0.0,0.0,145.1578947368421,11.615820642978003,1686.1280701754386
1766,1149585,61816,61816,0,0,117718,1,0.0,0.0,66.65798414496037,9.765583852936679,650.9541336353341
694,960923,19757,0,0,19757,82742,1,0.0,0.0,119.22478386167147,11.613485291629402,1384.615273775216
3000,1107579,80875,25452,2050,53373,106108,1,0.03840893335581661,0.08054376866258055,35.36933333333333,10.438223319636597,369.193
688,961080,19510,0,0,19510,82752,1,0.0,0.0,120.27906976744185,11.613979118329466,1396.9186046511627
546,960381,27719,0,0,27719,82682,1,0.0,0.0,151.43223443223442,11.615357635277327,1758.9395604395604
432,1151460,58626,58626,0,0,117910,1,0.0,0.0,272.93981481481484,9.765583919938937,2665.4166666666665
5459,1183618,82249,28418,3383,50448,114315,1,0.06705915001585791,0.11904426771764375,20.940648470415827,10.35400428640161,216.8195640227148
2390,744620,196553,65534,65483,65536,160890,1,0.9991912841796875,0.9992217780083621,67.31799163179916,4.628131021194605,311.55648535564853
0,960836,121,0,113,8,82424,1,14.125,113.0,82424.0,11.657235756575755,960836.0
3782,1088351,90870,27762,4242,58866,103000,1,0.07206197125675262,0.15279878971255673,27.234267583289267,10.566514563106796,287.77128503437336
0,960947,1533,0,63,1470,82412,1,0.04285714285714286,63.0,82412.0,11.660280056302481,960947.0
646,960851,20146,0,0,20146,82736,1,0.0,0.0,128.07430340557275,11.613457261651519,1487.3854489164087
562,961336,18998,0,0,18998,82766,1,0.0,0.0,147.27046263345196,11.61510765290095,1710.5622775800712
0,961123,78,0,64,14,82428,1,4.571428571428571,64.0,82428.0,11.66015189013442,961123.0
1212,1038101,61666,61666,0,0,106302,1,0.0,0.0,87.70792079207921,9.765582961750484,856.5189768976898
1656,1032945,60462,60462,0,0,105774,1,0.0,0.0,63.8731884057971,9.765585115434796,623.7590579710145
720,960980,18976,0,0,18976,82736,1,0.0,0.0,114.91111111111111,11.61501643782634,1334.6944444444443
1806,1144843,61852,61852,0,0,117232,1,0.0,0.0,64.9125138427464,9.76561860242937,633.9108527131783
1728,839299,41616,0,0,41616,72274,1,0.0,0.0,41.82523148148148,11.612737637324626,485.70543981481484
496,960685,21712,0,0,21712,82722,1,0.0,0.0,166.77822580645162,11.613416019922148,1936.8649193548388
1222,1132945,60626,60626,0,0,116014,1,0.0,0.0,94.93780687397708,9.765588635854293,927.1235679214402
