cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
0,7995,96,0,66,30,960,0
2130,1136193,61427,61427,0,0,116349,1
8,14492,117,0,74,43,1692,0
0,11060,66,0,44,22,1304,0
0,235517,145,0,88,57,21812,0
0,14352,87,0,54,33,1600,0
0,10279,159,0,92,67,1178,0
1218,1146796,65431,65431,0,0,117432,1
20402,400384,131697,131698,0,0,47104,2
0,961142,83,0,69,14,82446,1
18,834080,65317,0,0,65317,71824,1
0,11306,65,0,40,25,1308,0
17994,352512,122599,122599,0,0,41472,2
0,11178,56,0,34,22,1370,0
2878,781741,84607,0,0,84607,68400,2
10,13018,86,0,54,32,1664,0
3432,940672,84665,0,0,84665,82304,2
0,960979,111,0,111,0,82064,2
878,951009,20846,0,0,20844,81894,1
486,960593,18093,0,0,18093,82724,1
544,961255,21009,0,0,21009,82756,1
0,1149531,65524,65524,0,0,117712,1
0,961133,62,0,50,12,82410,1
20322,398072,133407,133407,0,0,46832,2
0,11869,76,0,44,32,1378,0
0,9611,54,0,30,24,1208,0
3440,943001,89743,0,0,89743,82508,2
0,11673,58,0,30,28,1586,0
448,961020,20047,0,0,20047,82748,1
0,961102,76,0,66,10,82452,1
320,960896,233,0,233,0,82084,2
0,960884,74,0,65,9,82418,1
324,960986,18834,0,0,18834,82742,1
0,1041250,65536,65536,0,0,106624,1
0,240087,68,0,41,27,22416,0
0,11095,50,0,31,19,1310,0
8,14591,77,0,45,32,1730,0
4,960962,145,0,145,0,82066,2
3346,920314,98080,0,0,98082,80522,2
20300,398095,135558,135558,0,0,46834,2
464,961429,24754,0,0,24754,82776,1
20176,394876,135019,135020,0,0,46456,2
488,959581,19761,0,0,19761,82634,1
0,8288,57,0,34,23,1414,0
3398,929401,83417,0,0,83418,81320,2
0,12980,73,0,45,28,1894,0
0,11222,56,0,34,22,1382,0
0,14060,52,0,31,21,1814,0
3410,932998,88991,0,0,88991,81634,2
1492,813759,7550,0,7550,0,69538,2
6,961102,247,0,247,0,82118,2
0,7028,53,0,29,24,1118,0
0,13142,71,0,41,30,1512,0
0,9305,53,0,30,23,1550,0
0,9676,140,0,90,50,1250,0
3386,928992,103346,0,0,103346,81284,2
2932,931314,95832,0,0,95832,81486,2
124,1139398,58271,58271,0,0,116674,1
1460,816566,7806,0,7806,0,69778,2
0,9919,55,0,30,25,1564,0
0,10993,47,0,29,18,1266,0
972,1143641,58959,58959,0,0,117108,1
0,6889,86,0,59,27,992,0
76,943102,80567,0,0,80567,82520,2
1506,828960,8049,0,8049,0,70838,2
1546,833793,8217,0,8217,0,71252,2
4,961043,227,0,227,0,82106,2
17998,353741,120718,120718,0,0,41618,2
4,16755,78,0,44,34,2304,0
0,8014,52,0,29,23,1004,0
1626,831505,21600,0,0,21600,71602,1
3462,940827,96015,0,0,96015,82320,2
0,961026,130,0,130,0,82088,2
0,8220,74,0,47,27,1024,0
2,12484,72,0,44,28,1446,0
0,961106,80,0,67,13,82434,1
0,12412,49,0,31,18,1586,0
0,961235,73,0,73,0,82076,2
0,16494,63,0,41,22,1912,0
0,9484,58,0,40,18,1488,0
1820,1144169,61160,61160,0,0,117161,1
0,12353,73,0,42,31,1596,0
20266,398617,134999,135000,0,0,46898,2
20352,398276,131830,131830,0,0,46856,2
1496,829551,7267,0,7267,0,70888,2
3458,930865,91779,0,0,91779,81448,2
552,960617,19131,0,0,19131,82706,1
0,10334,63,0,41,22,1576,0
0,7289,53,0,30,23,896,0
0,10293,53,0,30,23,1278,0
0,961504,166,0,166,0,82130,2
0,961223,178,0,178,0,82116,2
6,835275,65390,0,0,65390,71926,1
8,11812,75,0,47,28,1516,0
0,961450,44,0,32,12,82424,1
