cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps
2688,1083999,80232,22999,1306,55927,102912
2690,1091134,79745,22772,1385,55588,103784
2742,1072560,78602,21837,1183,55582,101474
3582,1116812,78958,22269,1273,55416,106722
3582,1116812,78537,22167,1327,55043,106722
2030,1076951,76774,20940,843,54991,102768
2412,1083451,76999,21360,938,54701,103032
2784,1080849,76877,21324,959,54594,102964
2784,1080849,76059,20509,925,54625,102964
2532,1071131,74728,19692,1000,54036,101840
2920,1083128,73220,18134,1008,54079,103062
2914,1082612,73900,18905,1065,53930,102680
2914,1082612,74605,19882,1119,53604,102680
2902,1094436,72985,18455,1021,53509,104240
2806,1083436,73381,19182,1082,53117,103212
3366,1103417,73903,19541,1097,53265,105718
3366,1103417,73231,18963,1031,53237,105718
2732,1084056,73472,19565,1083,52824,103214
2876,1077662,72827,19129,1003,52695,102724
2604,1079076,72555,19072,1016,52463,102656
2604,1079076,72401,19458,1089,51854,102656
2608,1071552,71028,18233,919,51876,102128
2636,1072536,71236,18827,954,51455,101926
2276,1054863,71496,19184,1020,51288,100018
2276,1054863,70582,18571,885,51126,100018
3298,1098518,70262,19096,985,50182,104840
3106,1090502,69864,18640,989,50235,104074
3106,1090502,70460,19071,1089,50300,104074
3722,1109396,70074,19512,1203,49360,106496
3258,1104954,70514,19725,1320,49469,106016
3258,1104954,71752,20759,1380,49613,106016
4360,1150714,72416,21976,1411,49029,110582
4784,1154622,74466,24257,1630,48579,111374
4728,1172891,75400,25061,1662,48677,112594
4728,1172891,75353,25922,1803,47628,112594
5176,1162026,75617,26205,1828,47584,112112
5780,1199683,76757,27822,2026,46909,116108
3938,1125350,77376,28584,2066,46726,107712
3938,1125350,77535,28767,1999,46769,107712
3764,1117395,77093,29295,2104,45694,106474
3974,1128727,76820,29012,1963,45845,107746
4166,1162407,77630,29846,2176,45608,112224
4166,1162407,77090,30026,2261,44803,112224
3381,1120892,76087,29187,2084,44816,107506
2474,1087776,74504,28623,2176,43705,103770
2474,1087776,74537,28945,2269,43323,103770
2964,1100002,73913,28416,2095,43402,104990
4168,1131177,71753,27174,2148,42431,108928
2682,1094582,71615,26981,2037,42597,104580
2682,1094582,70927,26429,1796,42702,104580
