cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps
20308,399772,134996,134996,0,0,47032
20386,399670,133386,133386,0,0,47020
20484,399636,132696,132696,0,0,47016
20484,399636,137973,137973,0,0,47016
20346,399568,131514,131514,0,0,47008
20464,400690,135376,135377,0,0,47140
20464,400690,132972,132972,0,0,47140
20400,399262,132340,132341,0,0,46972
20384,400044,132717,132717,0,0,47064
20506,400520,134532,134532,0,0,47120
20506,400520,137367,137367,0,0,47120
20402,400350,135951,135951,0,0,47100
20658,401608,136481,136482,0,0,47248
20362,400588,131881,131882,0,0,47128
20532,401302,132110,132111,0,0,47212
20166,397426,135183,135183,0,0,46756
20280,398344,135322,135322,0,0,46864
20296,399364,132557,132557,0,0,46984
20272,396848,134422,134416,0,0,46688
20272,396848,134557,134557,0,0,46688
20184,394570,134248,134248,0,0,46420
20076,391306,129731,129731,0,0,46036
20140,394797,131922,131923,0,0,46446
20072,393526,128783,128784,0,0,46298
20046,395488,133244,133245,0,0,46528
20218,395046,135536,135531,0,0,46476
20218,395046,131696,131697,0,0,46476
20118,395692,129812,129813,0,0,46552
20064,395522,133204,133206,0,0,46532
20064,395522,132244,132244,0,0,46532
20024,394196,131560,131561,0,0,46376
20134,395624,129961,129956,0,0,46546
20196,396406,132774,132774,0,0,46636
20196,396406,134235,134235,0,0,46636
20108,393856,129200,129202,0,0,46338
19988,392938,131111,131105,0,0,46228
19834,390320,136004,136004,0,0,45920
19834,390320,131735,131735,0,0,45920
20110,395901,131819,131819,0,0,46578
20302,395114,131176,131176,0,0,46484
20286,397256,131887,131888,0,0,46736
20286,397256,134801,134801,0,0,46736
20208,396134,129561,129561,0,0,46604
20338,397290,131368,131370,0,0,46740
20198,397868,133985,133979,0,0,46808
20198,397868,131976,131976,0,0,46808
20278,393822,131956,131956,0,0,46332
20148,397324,130166,130165,0,0,46744
20308,397721,133129,133129,0,0,46792
20308,397721,134821,134821,0,0,46792
20120,395260,128989,128989,0,0,46500
17988,353464,129791,129792,0,0,41584
17918,352648,134285,134281,0,0,41488
17918,352648,129009,129009,0,0,41488
18064,353702,127970,127970,0,0,41612
17952,352818,126498,126492,0,0,41508
17952,352818,128874,128874,0,0,41508
18116,354416,127529,127529,0,0,41696
18140,353362,121439,121436,0,0,41572
18096,352682,125668,125668,0,0,41492
18096,352682,127132,127134,0,0,41492
17974,352546,121133,121134,0,0,41476
18026,353770,120205,120208,0,0,41620
18026,353770,126057,126057,0,0,41620
17870,350030,120371,120371,0,0,41180
17496,345780,118659,118659,0,0,40680
18058,353158,117695,117695,0,0,41548
17974,352308,118018,118019,0,0,41448
17974,352308,119515,119515,0,0,41448
17814,349792,116788,116788,0,0,41152
18032,351526,115504,115504,0,0,41356
17896,352036,118949,118949,0,0,41416
17896,352036,119918,119919,0,0,41416
20170,396134,119906,119906,0,0,46604
19364,377916,116237,116237,0,0,44464
18080,352819,120104,120104,0,0,41510
18080,352819,121914,121914,0,0,41510
17798,351153,117634,117634,0,0,41314
17960,352478,116774,116774,0,0,41468
17954,352688,119905,119905,0,0,41496
17954,352688,119923,119923,0,0,41496
18038,351764,118800,118800,0,0,41386
17842,350847,118209,118209,0,0,41278
17842,350847,121130,121130,0,0,41278
17928,351220,119899,119899,0,0,41320
17842,351968,117120,117114,0,0,41408
17886,348262,118642,118642,0,0,40972
17886,348262,121278,121278,0,0,40972
17748,347650,116719,116719,0,0,40900
17214,338674,118495,118496,0,0,39844
17712,345984,119658,119652,0,0,40704
17712,345984,116925,116926,0,0,40704
17902,349866,115636,115637,0,0,41164
17708,349792,115215,115215,0,0,41152
17708,349792,118513,118513,0,0,41152
17884,350132,117523,117523,0,0,41192
17840,349214,113731,113732,0,0,41084
17920,350302,117485,117485,0,0,41212
17920,350302,119449,119449,0,0,41212
17702,349554,115989,115989,0,0,41124
17772,349112,115361,115362,0,0,41074
17994,350880,117996,117996,0,0,41280
17994,350880,118275,118277,0,0,41280
18232,354620,119193,119193,0,0,41720
17828,349656,115054,115054,0,0,41136
17896,353396,115246,115241,0,0,41576
17962,353022,119440,119438,0,0,41532
17962,353022,117235,117236,0,0,41532
18130,353566,117184,117185,0,0,41596
18044,353362,116333,116333,0,0,41572
17924,353022,118293,118287,0,0,41532
17924,353022,120029,120029,0,0,41532
18108,353362,114704,114704,0,0,41572
18226,354858,118221,118215,0,0,41748
18226,354858,120508,120509,0,0,41748
18028,351736,116419,116419,0,0,41384
17666,347038,117022,117019,0,0,40828
17636,343842,116817,116818,0,0,40452
17636,343842,119774,119774,0,0,40452
18046,353736,119207,119208,0,0,41616
18024,353056,114710,114710,0,0,41536
18122,353260,118644,118644,0,0,41560
18122,353260,120810,120810,0,0,41560
17980,352852,116857,116859,0,0,41512
18054,352376,116286,116286,0,0,41456
18108,352750,119329,119330,0,0,41500
18108,352750,118604,118605,0,0,41500
17872,349248,118107,118107,0,0,41088
17920,351322,117454,117455,0,0,41332
18122,354926,117873,117867,0,0,41756
18122,354926,120545,120545,0,0,41756
17808,350234,115404,115404,0,0,41204
18036,354144,118144,118140,0,0,41664
18036,354144,120285,120285,0,0,41664
18028,353158,116699,116699,0,0,41548
18044,354065,116056,116057,0,0,41654
18020,352318,119087,119088,0,0,41450
18020,352318,118662,118662,0,0,41450
18040,352580,118379,118379,0,0,41480
18038,353260,117635,117631,0,0,41560
17990,352682,118711,118712,0,0,41492
17990,352682,121472,121472,0,0,41492
17714,348296,116521,116522,0,0,40976
17908,350506,116311,116311,0,0,41236
17520,345304,116486,116482,0,0,40624
17520,345304,119314,119314,0,0,40624
17998,354144,119135,119136,0,0,41664
18044,353838,114510,114510,0,0,41628
17912,349350,116889,116889,0,0,41100
17912,349350,121484,121484,0,0,41100
18046,352648,116363,116363,0,0,41488
18012,352206,116029,116029,0,0,41436
17950,351594,119039,119039,0,0,41364
17950,351594,118059,118060,0,0,41364
17862,350642,117853,117853,0,0,41252
17948,352784,115526,115523,0,0,41504
17964,352036,117142,117144,0,0,41416
17964,352036,119874,119875,0,0,41416
17878,350914,115103,115103,0,0,41284
17828,349389,116691,116691,0,0,41106
17780,350404,119742,119739,0,0,41226
17780,350404,117385,117385,0,0,41226
18066,352104,117097,117098,0,0,41424
17932,350574,117906,117899,0,0,41244
17932,350574,118601,118602,0,0,41244
17926,350540,118567,118567,0,0,41240
17908,351833,114332,114332,0,0,41396
18190,355776,118421,118415,0,0,41856
18190,355776,121035,121035,0,0,41856
18080,355606,117027,117027,0,0,41836
18078,356184,116836,116832,0,0,41904
18138,355674,118609,118610,0,0,41844
18138,355674,117720,117720,0,0,41844
18168,353872,117390,117390,0,0,41632
18128,354348,117329,117329,0,0,41688
17980,354858,114599,114596,0,0,41748
18202,354858,119234,119234,0,0,41748
18110,356218,115676,115676,0,0,41908
18144,355742,119178,119178,0,0,41852
18054,354926,119554,119552,0,0,41756
18054,354178,119715,119712,0,0,41668
18054,354178,122467,122467,0,0,41668
17906,354620,116897,116897,0,0,41720
18132,355844,119669,119669,0,0,41864
18020,353702,115739,115739,0,0,41612
18084,354212,117608,117609,0,0,41672
18084,354212,122123,122123,0,0,41672
18118,353600,117717,117717,0,0,41600
18096,353906,117246,117246,0,0,41636
18104,354178,119909,119909,0,0,41668
18104,354178,119010,119011,0,0,41668
18076,354416,118884,118884,0,0,41696
18020,353997,118113,118113,0,0,41646
18050,354256,119766,119762,0,0,41678
18050,354256,120112,120112,0,0,41678
18178,354654,115945,115946,0,0,41724
18038,353022,118008,118008,0,0,41532
17976,354314,119159,119161,0,0,41684
17976,354314,119551,119551,0,0,41684
18116,353736,118805,118805,0,0,41616
18114,353022,118158,118158,0,0,41532
18016,353804,118460,118460,0,0,41624
18016,353804,120643,120643,0,0,41624
18110,353736,116247,116247,0,0,41616
18152,355062,118120,118120,0,0,41772
18064,353838,120187,120187,0,0,41628
18064,353838,118903,118903,0,0,41628
18082,354518,118874,118874,0,0,41708
18084,355300,118006,118006,0,0,41800
18020,353736,118768,118768,0,0,41616
18020,353736,120411,120411,0,0,41616
18090,353566,115518,115518,0,0,41596
17932,353249,118295,118295,0,0,41558
17940,353100,120331,120327,0,0,41542
17940,353100,118699,118699,0,0,41542
18046,352648,118388,118388,0,0,41488
17968,350642,117538,117539,0,0,41252
17968,350642,120168,120169,0,0,41252
17808,350676,119836,119836,0,0,41256
17876,350268,115643,115643,0,0,41208
17934,350438,117412,117413,0,0,41228
17934,350438,121780,121780,0,0,41228
17818,349962,117889,117889,0,0,41172
17954,350710,117710,117710,0,0,41260
17830,350234,116020,116021,0,0,41204
17830,350234,118898,118899,0,0,41204
17826,350370,118853,118854,0,0,41220
17972,350812,114898,114898,0,0,41272
17948,351152,117869,117870,0,0,41314
17948,351152,120536,120536,0,0,41314
18116,353430,115679,115679,0,0,41580
17962,353124,115780,115774,0,0,41544
18178,355810,118500,118500,0,0,41860
18178,355810,117498,117498,0,0,41860
17938,353736,117043,117043,0,0,41616
18098,353974,116487,116488,0,0,41644
18098,353974,119422,119423,0,0,41644
17968,353090,121368,121368,0,0,41540
17954,353090,116186,116187,0,0,41540
18046,354586,117120,117120,0,0,41716
18014,353974,118588,118584,0,0,41644
18014,353974,119448,119448,0,0,41644
18216,355402,121203,121204,0,0,41812
18136,356252,116620,116621,0,0,41912
18194,356252,117584,117585,0,0,41912
18210,354586,116980,116981,0,0,41716
18210,354586,119714,119714,0,0,41716
18212,355640,119671,119671,0,0,41840
18084,354994,116446,116446,0,0,41764
18134,354892,118046,118046,0,0,41752
18134,354892,122451,122452,0,0,41752
18114,354144,118415,118415,0,0,41664
