cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps
474,961343,19307,0,0,19307,82772
474,961343,19142,0,0,19142,82772
412,960975,19288,0,0,19288,82752
376,961058,19013,0,0,19013,82752
376,961058,18997,0,0,18997,82752
344,960791,19138,0,0,19138,82732
294,961149,18820,0,0,18820,82748
252,961249,18920,0,0,18920,82738
252,961249,19046,0,0,19046,82738
350,961037,18670,0,0,18670,82756
432,960591,18830,0,0,18830,82702
432,960591,18959,0,0,18959,82702
358,961450,18505,0,0,18505,82792
298,960599,18655,0,0,18655,82718
462,961492,18588,0,0,18588,82792
462,961492,18328,0,0,18328,82792
428,960978,18512,0,0,18512,82738
456,960568,18145,0,0,18145,82700
710,961059,18434,0,0,18434,82758
710,961059,18567,0,0,18567,82758
486,960693,18162,0,0,18162,82716
194,961438,18249,0,0,18249,82790
194,961438,18438,0,0,18438,82790
558,961099,17935,0,0,17935,82750
362,961006,18109,0,0,18109,82734
600,945330,18167,0,0,18167,81398
600,945330,18349,0,0,18349,81398
1806,839370,19047,0,0,19047,72280
1950,839587,19166,0,0,19166,72296
1734,835842,19510,0,0,19510,71982
1734,835842,20224,0,0,20224,71982
1922,837830,20145,0,0,20145,72148
1644,830406,20714,0,0,20714,71508
1644,830406,21485,0,0,21485,71508
1942,839445,21577,0,0,21577,72284
1898,826828,22294,0,0,22294,71200
2004,823678,22841,0,0,22841,70930
2004,823678,23166,0,0,23166,70930
1956,832923,23925,0,0,23925,71724
1916,833492,24292,0,0,24292,71772
1916,833492,24743,0,0,24743,71772
1770,822151,25419,0,0,25419,70800
1784,837094,25576,0,0,25576,72082
2046,831227,26319,0,0,26319,71580
2046,831227,26898,0,0,26898,71580
1912,835971,27146,0,0,27146,71986
1920,838910,27860,0,0,27860,72240
2050,828141,28566,0,0,28566,71312
2050,828141,29188,0,0,29188,71312
1864,837753,29813,0,0,29813,72140
1878,827752,30557,0,0,30557,71278
1702,826877,31210,0,0,31210,71206
1702,826877,31885,0,0,31885,71206
1894,815328,32542,0,0,32542,70208
1496,817935,33036,0,0,33036,70434
1496,817935,33644,0,0,33644,70434
1820,818930,34338,0,0,34338,70518
1770,832886,34992,0,0,34992,71722
1776,839303,35722,0,0,35722,72272
1776,839303,36372,0,0,36372,72272
2172,826084,37098,0,0,37098,71136
1904,826961,37762,0,0,37762,71210
1904,826961,38364,0,0,38364,71210
1782,835038,39086,0,0,39086,71908
1942,839916,39740,0,0,39740,72326
1844,828577,40424,0,0,40424,71352
1844,828577,41042,0,0,41042,71352
1868,825225,42014,0,0,42014,71060
1964,823538,42878,0,0,42878,70918
1864,823937,43442,0,0,43442,70950
1864,823937,44189,0,0,44189,70950
1906,824443,44814,0,0,44814,70994
1836,828047,45489,0,0,45489,71304
1952,828411,46216,0,0,46216,71336
1952,828411,46930,0,0,46930,71336
1986,824941,47585,0,0,47585,71036
1860,826983,48264,0,0,48264,71212
1860,826983,49049,0,0,49049,71212
2098,833764,49808,0,0,49808,71798
2030,837720,51297,0,0,51297,72136
1926,833454,52774,0,0,52774,71770
1980,837412,53861,0,0,53861,72110
1878,836359,54609,0,0,54609,72020
2080,838038,55330,0,0,55330,72164
1874,839796,56357,0,0,56357,72316
1988,829771,57333,0,0,57333,71452
1830,830206,58131,0,0,58131,71490
1830,830206,58694,0,0,58694,71490
1872,828649,59539,0,0,59539,71356
1636,835757,60086,0,0,60086,71968
1878,835829,60817,0,0,60817,71974
1878,835829,61644,0,0,61644,71974
2138,835829,62394,0,0,62394,71976
1992,840294,63072,0,0,63072,72358
1964,836925,63770,0,0,63770,72070
1964,836925,64451,0,0,64451,72070
1928,838193,65157,0,0,65157,72176
1436,831895,65309,0,0,65309,71636
0,835180,65309,0,0,65309,71918
0,835180,65307,0,0,65307,71918
18,834080,65317,0,0,65317,71824
2,844640,65317,0,0,65317,72732
2,844640,65321,0,0,65321,72732
14,836772,65324,0,0,65324,72056
2,841170,65327,0,0,65327,72438
2,841170,65331,0,0,65331,72438
14,833430,65333,0,0,65333,71768
22,834672,65329,0,0,65329,71874
8,834800,65331,0,0,65331,71886
8,834800,65331,0,0,65331,71886
0,840370,65334,0,0,65334,72366
22,835815,65336,0,0,65336,71974
12,838948,65340,0,0,65340,72242
12,838948,65342,0,0,65342,72242
8,847224,65342,0,0,65342,72956
2,837496,65341,0,0,65341,72116
2,837496,65341,0,0,65341,72116
6,840787,65343,0,0,65343,72402
24,841522,65349,0,0,65349,72464
10,839099,65354,0,0,65354,72256
10,839099,65358,0,0,65358,72256
8,841133,65345,0,0,65345,72430
0,839252,65340,0,0,65340,72270
8,838322,65341,0,0,65341,72188
8,838322,65340,0,0,65340,72188
2,838308,65341,0,0,65341,72188
4,841759,65340,0,0,65340,72484
4,841759,65333,0,0,65333,72484
2,837043,65330,0,0,65330,72080
0,834012,65329,0,0,65329,71816
2,836394,65327,0,0,65327,72024
2,836394,65325,0,0,65325,72024
10,840683,65345,0,0,65345,72392
36,846647,65345,0,0,65345,72908
36,846647,65345,0,0,65345,72908
0,838735,65343,0,0,65343,72224
8,839170,65343,0,0,65343,72262
0,835948,65341,0,0,65341,71984
0,835948,65350,0,0,65350,71984
24,830548,65349,0,0,65349,71520
8,830515,65345,0,0,65345,71516
8,830515,65348,0,0,65348,71516
8,833725,65344,0,0,65344,71794
0,842255,65341,0,0,65341,72526
2,839258,65344,0,0,65344,72274
2,839258,65346,0,0,65346,72274
12,841041,65327,0,0,65327,72426
0,836867,65323,0,0,65323,72064
0,836867,65330,0,0,65330,72064
14,835879,65330,0,0,65330,71982
10,834607,65330,0,0,65330,71872
4,836939,65325,0,0,65325,72070
4,836939,65318,0,0,65318,72070
8,836088,65315,0,0,65315,71996
0,837081,65323,0,0,65323,72082
30,835284,65327,0,0,65327,71928
30,835284,65327,0,0,65327,71928
6,839574,65324,0,0,65324,72296
14,835308,65325,0,0,65325,71932
14,835308,65325,0,0,65325,71932
0,828272,65325,0,0,65325,71322
20,826946,65318,0,0,65318,71210
0,831425,65318,0,0,65318,71594
0,831425,65324,0,0,65324,71594
12,837769,65324,0,0,65324,72144
4,843270,65330,0,0,65330,72614
10,837634,65330,0,0,65330,72130
10,837634,65331,0,0,65331,72130
14,844404,65337,0,0,65337,72712
14,838862,65330,0,0,65330,72236
14,838862,65329,0,0,65329,72236
0,842858,65318,0,0,65318,72578
2,839583,65317,0,0,65317,72298
4,829511,65318,0,0,65318,71430
4,829511,65322,0,0,65322,71430
8,827277,65316,0,0,65316,71238
18,834294,65319,0,0,65319,71842
8,835924,65322,0,0,65322,71984
8,835924,65320,0,0,65320,71984
8,831791,65316,0,0,65316,71626
4,833738,65308,0,0,65308,71794
4,833738,65307,0,0,65307,71794
0,835640,65304,0,0,65304,71958
6,839359,65300,0,0,65300,72278
10,839479,65305,0,0,65305,72288
10,839479,65305,0,0,65305,72288
2,827501,65305,0,0,65305,71258
0,825596,65305,0,0,65305,71094
14,825471,65308,0,0,65308,71082
14,825471,65317,0,0,65317,71082
26,823724,65305,0,0,65305,70932
8,828718,65308,0,0,65308,71362
8,828718,65306,0,0,65306,71362
0,820642,65304,0,0,65304,70666
10,829592,65307,0,0,65307,71440
14,827670,65313,0,0,65313,71270
14,827670,65313,0,0,65313,71270
8,828611,65315,0,0,65315,71354
4,831875,65314,0,0,65314,71632
4,831875,65317,0,0,65317,71632
6,837717,65315,0,0,65315,72140
0,841109,65313,0,0,65313,72428
12,823993,65318,0,0,65318,70956
12,823993,65316,0,0,65316,70956
0,833245,65314,0,0,65314,71750
8,836867,65311,0,0,65311,72064
12,828743,65314,0,0,65314,71364
12,828743,65310,0,0,65310,71364
10,837692,65308,0,0,65308,72136
8,833315,65310,0,0,65310,71756
8,833315,65313,0,0,65313,71756
10,840256,65311,0,0,65311,72356
0,832133,65311,0,0,65311,71656
0,832133,65312,0,0,65312,71656
2,831458,65322,0,0,65322,71598
44,817490,65332,0,0,65332,70394
6,818031,65335,0,0,65335,70444
6,818031,65336,0,0,65336,70444
4,824339,65329,0,0,65329,70984
16,836677,65332,0,0,65332,72048
26,837625,65342,0,0,65342,72128
26,837625,65344,0,0,65344,72128
6,836901,65341,0,0,65341,72068
0,816049,65341,0,0,65341,70270
0,816049,65352,0,0,65352,70270
24,831292,65351,0,0,65351,71584
0,831591,65348,0,0,65348,71608
24,833004,65359,0,0,65359,71732
24,833004,65362,0,0,65362,71732
6,826500,65359,0,0,65359,71170
4,836748,65357,0,0,65357,72054
0,834909,65354,0,0,65354,71894
0,834909,65350,0,0,65350,71894
4,829497,65351,0,0,65351,71430
0,826093,65348,0,0,65348,71136
0,826093,65355,0,0,65355,71136
22,836004,65356,0,0,65356,71990
6,837341,65358,0,0,65358,72104
14,838615,65361,0,0,65361,72214
6,832924,65363,0,0,65363,71724
24,831150,65368,0,0,65368,71572
0,835369,65361,0,0,65361,71934
0,831307,65359,0,0,65359,71584
0,831307,65351,0,0,65351,71584
20,835981,65358,0,0,65358,71988
18,838606,65368,0,0,65368,72212
18,838606,65372,0,0,65372,72212
4,851514,65368,0,0,65368,73324
2,838413,65367,0,0,65367,72198
2,838413,65367,0,0,65367,72198
0,837354,65367,0,0,65367,72104
12,840503,65371,0,0,65371,72378
4,844251,65366,0,0,65366,72698
4,844251,65342,0,0,65342,72698
0,839536,65351,0,0,65351,72294
30,838617,65352,0,0,65352,72214
