cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps
50,203,292,0,292,0,250
48,196,309,0,309,0,242
48,196,326,0,326,0,242
48,195,343,0,343,0,240
48,197,361,0,361,0,244
48,197,381,0,381,0,244
48,197,398,0,398,0,244
50,203,416,0,416,0,250
48,195,433,0,433,0,240
48,195,450,0,450,0,240
48,196,467,0,467,0,242
48,195,484,0,484,0,240
48,195,501,0,501,0,240
50,205,519,0,519,0,254
50,196,536,0,536,0,242
48,201,554,0,554,0,248
48,201,573,0,573,0,248
48,195,591,0,591,0,240
48,195,608,0,608,0,240
48,195,625,0,625,0,240
48,195,642,0,642,0,240
48,198,660,0,660,0,246
50,151,676,0,676,0,188
50,151,693,0,693,0,188
48,35,710,0,710,0,52
48,38,727,0,727,0,62
48,38,745,0,745,0,62
50,59,761,0,761,0,104
50,68,779,0,779,0,114
48,83,796,0,796,0,144
48,83,814,0,814,0,144
48,90,831,0,831,0,156
48,119,849,0,849,0,202
48,119,865,0,865,0,202
50,112,883,0,883,0,194
48,147,899,0,899,0,254
48,136,916,0,916,0,236
48,136,933,0,933,0,236
48,172,950,0,950,0,298
50,172,967,0,967,0,298
50,172,985,0,985,0,298
50,163,1002,0,1002,0,282
32,701,1004,0,1004,0,756
0,427,1004,0,1004,0,450
0,427,1004,0,1004,0,450
0,251,1004,0,1004,0,264
0,338,1004,0,1004,0,370
0,338,1004,0,1004,0,370
0,114,1004,0,1004,0,162
0,202,1004,0,1004,0,276
0,202,1004,0,1004,0,276
0,110,1004,0,1004,0,142
0,397,1003,0,1003,0,372
0,73,1003,0,1003,0,104
0,73,1004,0,1004,0,104
2,452,1004,0,1004,0,460
0,114,1004,0,1004,0,136
0,114,1004,0,1004,0,136
0,681,1004,0,1004,0,658
0,60,1004,0,1004,0,78
0,914,1004,0,1004,0,666
0,914,1004,0,1004,0,666
0,170,1004,0,1004,0,134
0,579,1004,0,1004,0,506
0,579,1004,0,1004,0,506
0,128,1004,0,1004,0,132
0,251,1004,0,1004,0,220
0,251,1003,0,1003,0,220
0,50,1004,0,1004,0,54
2,1681,967,0,967,0,2674
0,31,967,0,967,0,36
0,31,967,0,967,0,36
0,15,950,0,950,0,26
0,16,950,0,950,0,28
0,16,950,0,950,0,28
0,7,923,0,923,0,8
0,0,923,0,923,0,0
0,0,923,0,923,0,0
0,4,925,0,925,0,6
50,28,950,0,950,0,50
24,60,943,0,943,0,50
24,60,935,0,935,0,50
22,12,942,0,942,0,22
36,24,925,0,925,0,38
36,24,927,0,927,0,38
22,12,932,0,932,0,22
30,18,915,0,915,0,32
0,0,915,0,915,0,0
0,0,922,0,922,0,0
30,33,926,0,926,0,40
22,12,937,0,937,0,22
22,12,943,0,943,0,22
26,19,924,0,924,0,32
28,16,935,0,935,0,28
28,16,947,0,947,0,28
24,15,918,0,918,0,26
28,16,930,0,930,0,28
6,3,920,0,920,0,6
6,3,888,0,888,0,6
0,3,888,0,888,0,2
0,135,863,0,863,0,110
0,135,841,0,841,0,110
0,12,841,0,841,0,10
0,7,782,0,782,0,8
0,25,782,0,782,0,20
0,25,782,0,782,0,20
0,15,723,0,723,0,14
0,38,723,0,723,0,30
0,38,723,0,723,0,30
0,0,694,0,694,0,0
0,101,694,0,694,0,80
0,101,695,0,695,0,80
2,12,682,0,682,0,18
0,203,682,0,682,0,160
0,0,682,0,682,0,0
0,0,682,0,682,0,0
0,406,682,0,682,0,320
0,87,682,0,682,0,96
0,87,682,0,682,0,96
0,406,682,0,682,0,320
0,2,682,0,682,0,4
0,2,682,0,682,0,4
0,406,682,0,682,0,320
0,0,682,0,682,0,0
50,368,707,0,707,0,380
50,368,720,0,720,0,380
26,137,720,0,720,0,166
0,0,731,0,731,0,0
0,0,737,0,737,0,0
34,138,748,0,748,0,170
22,89,759,0,759,0,110
22,89,764,0,764,0,110
32,130,774,0,774,0,160
14,59,781,0,781,0,74
16,65,800,0,800,0,80
34,138,813,0,813,0,170
20,63,816,0,816,0,76
20,63,834,0,834,0,76
36,30,840,0,840,0,44
18,10,854,0,854,0,18
26,19,845,0,845,0,30
0,0,845,0,845,0,0
0,1,844,0,844,0,2
0,1,843,0,843,0,2
0,3,843,0,843,0,2
0,3,841,0,841,0,6
0,3,839,0,839,0,6
0,0,839,0,839,0,0
0,1,833,0,833,0,2
0,1,828,0,828,0,2
0,0,829,0,829,0,0
2,1651,787,0,787,0,2626
2,1651,787,0,787,0,2626
0,0,787,0,787,0,0
0,4,742,0,742,0,4
0,126,742,0,742,0,100
0,126,742,0,742,0,100
0,20,710,0,710,0,20
0,12,710,0,710,0,10
0,12,710,0,710,0,10
0,15,678,0,678,0,14
0,0,678,0,678,0,0
0,50,674,0,674,0,40
0,50,664,0,664,0,40
0,38,665,0,665,0,30
2,73,665,0,665,0,64
2,73,665,0,665,0,64
0,12,665,0,665,0,10
0,375,665,0,665,0,178
0,0,665,0,665,0,0
0,406,665,0,665,0,320
0,406,665,0,665,0,320
0,7,665,0,665,0,8
0,416,665,0,665,0,332
0,416,665,0,665,0,332
0,0,665,0,665,0,0
0,406,665,0,665,0,320
0,0,665,0,665,0,0
0,0,666,0,666,0,0
2,175,666,0,666,0,144
0,0,666,0,666,0,0
0,0,666,0,666,0,0
0,0,666,0,666,0,0
0,0,666,0,666,0,0
0,0,666,0,666,0,0
0,0,666,0,666,0,0
0,0,666,0,666,0,0
0,2,666,0,666,0,4
0,0,666,0,666,0,0
0,0,666,0,666,0,0
0,0,666,0,666,0,0
0,0,666,0,666,0,0
2,10,667,0,667,0,14
2,10,667,0,667,0,14
0,0,667,0,667,0,0
0,0,660,0,660,0,0
0,0,657,0,657,0,0
0,0,657,0,657,0,0
0,0,656,0,656,0,0
0,0,656,0,656,0,0
0,0,656,0,656,0,0
0,2,654,0,654,0,4
0,0,654,0,654,0,0
0,0,654,0,654,0,0
0,0,648,0,648,0,0
0,0,648,0,648,0,0
0,0,649,0,649,0,0
2,10,643,0,643,0,14
0,0,643,0,643,0,0
0,0,634,0,634,0,0
0,0,626,0,626,0,0
0,12,626,0,626,0,10
0,114,615,0,615,0,90
0,114,594,0,594,0,90
0,12,594,0,594,0,10
0,2,562,0,562,0,4
0,2,562,0,562,0,4
0,25,562,0,562,0,20
0,0,530,0,530,0,0
0,50,530,0,530,0,40
0,50,531,0,531,0,40
2,83,518,0,518,0,68
0,28,518,0,518,0,26
0,28,518,0,518,0,26
0,69,518,0,518,0,48
0,133,518,0,518,0,112
0,50,518,0,518,0,40
0,50,518,0,518,0,40
0,355,518,0,518,0,280
0,15,518,0,518,0,14
84,918,560,0,560,0,756
84,918,560,0,560,0,756
0,0,560,0,560,0,0
0,406,560,0,560,0,320
0,406,561,0,561,0,320
2,1052,561,0,561,0,1666
0,0,561,0,561,0,0
0,0,561,0,561,0,0
0,164,561,0,561,0,130
0,0,561,0,561,0,0
0,0,561,0,561,0,0
0,0,561,0,561,0,0
0,0,561,0,561,0,0
0,2,561,0,561,0,4
0,2,561,0,561,0,4
0,0,561,0,561,0,0
0,0,561,0,561,0,0
0,0,561,0,561,0,0
0,0,562,0,562,0,0
2,10,562,0,562,0,14
0,0,562,0,562,0,0
0,0,562,0,562,0,0
0,0,562,0,562,0,0
0,0,562,0,562,0,0
0,0,562,0,562,0,0
0,0,551,0,551,0,0
0,0,551,0,551,0,0
0,2,551,0,551,0,4
0,2,549,0,549,0,4
0,0,549,0,549,0,0
0,0,547,0,547,0,0
0,0,545,0,545,0,0
0,0,546,0,546,0,0
2,10,538,0,538,0,14
0,0,538,0,538,0,0
0,0,538,0,538,0,0
0,0,522,0,522,0,0
0,0,522,0,522,0,0
0,0,522,0,522,0,0
0,0,490,0,490,0,0
0,126,490,0,490,0,100
0,126,490,0,490,0,100
0,15,457,0,457,0,14
0,12,457,0,457,0,10
0,12,447,0,447,0,10
0,12,425,0,425,0,10
0,0,426,0,426,0,0
2,60,426,0,426,0,54
2,60,426,0,426,0,54
0,49,426,0,426,0,38
0,51,425,0,425,0,42
0,51,413,0,413,0,42
0,0,413,0,413,0,0
0,203,413,0,413,0,160
0,203,413,0,413,0,160
0,22,413,0,413,0,14
0,756,413,0,413,0,364
0,756,413,0,413,0,364
0,12,413,0,413,0,10
0,577,413,0,413,0,336
0,0,413,0,413,0,0
0,0,414,0,414,0,0
2,416,414,0,414,0,334
0,0,414,0,414,0,0
0,0,414,0,414,0,0
0,0,414,0,414,0,0
0,164,414,0,414,0,130
0,164,414,0,414,0,130
0,0,414,0,414,0,0
0,2,414,0,414,0,4
0,0,414,0,414,0,0
0,0,414,0,414,0,0
0,0,414,0,414,0,0
0,0,415,0,415,0,0
2,10,415,0,415,0,14
0,0,415,0,415,0,0
0,0,415,0,415,0,0
0,0,415,0,415,0,0
0,0,415,0,415,0,0
0,0,405,0,405,0,0
0,0,405,0,405,0,0
0,0,405,0,405,0,0
0,2,404,0,404,0,4
0,0,404,0,404,0,0
0,0,403,0,403,0,0
0,0,402,0,402,0,0
0,0,403,0,403,0,0
2,636,399,0,399,0,1014
2,636,397,0,397,0,1014
0,0,397,0,397,0,0
0,0,391,0,391,0,0
0,0,391,0,391,0,0
0,0,391,0,391,0,0
0,0,375,0,375,0,0
0,0,375,0,375,0,0
0,0,375,0,375,0,0
0,129,340,0,340,0,104
0,12,340,0,340,0,10
0,12,340,0,340,0,10
0,0,308,0,308,0,0
0,25,309,0,309,0,20
2,10,297,0,297,0,14
2,10,277,0,277,0,14
0,50,277,0,277,0,40
0,0,268,0,268,0,0
0,0,264,0,264,0,0
0,101,264,0,264,0,80
0,0,264,0,264,0,0
0,203,264,0,264,0,160
0,203,264,0,264,0,160
0,2,264,0,264,0,4
0,1514,264,0,264,0,482
0,1514,264,0,264,0,482
0,12,264,0,264,0,10
0,1871,264,0,264,0,526
2,193,265,0,265,0,38
2,193,265,0,265,0,38
0,406,265,0,265,0,320
0,0,265,0,265,0,0
0,0,265,0,265,0,0
0,0,265,0,265,0,0
0,164,265,0,265,0,130
0,164,265,0,265,0,130
0,0,265,0,265,0,0
0,2,265,0,265,0,4
0,0,265,0,265,0,0
0,0,265,0,265,0,0
0,0,265,0,265,0,0
0,0,265,0,265,0,0
0,0,266,0,266,0,0
2,193,266,0,266,0,38
0,0,266,0,266,0,0
0,0,266,0,266,0,0
0,0,266,0,266,0,0
0,0,266,0,266,0,0
0,0,266,0,266,0,0
0,0,266,0,266,0,0
0,0,266,0,266,0,0
0,2,255,0,255,0,4
0,0,255,0,255,0,0
0,0,255,0,255,0,0
0,0,253,0,253,0,0
0,0,253,0,253,0,0
0,0,254,0,254,0,0
2,194,250,0,250,0,40
0,0,250,0,250,0,0
0,0,250,0,250,0,0
0,0,242,0,242,0,0
0,0,242,0,242,0,0
0,0,238,0,238,0,0
0,0,226,0,226,0,0
0,0,226,0,226,0,0
0,2,215,0,215,0,4
0,2,188,0,188,0,4
0,126,188,0,188,0,100
0,12,148,0,148,0,10
0,12,148,0,148,0,10
0,0,149,0,149,0,0
2,218,116,0,116,0,58
0,0,116,0,116,0,0
0,0,116,0,116,0,0
0,50,116,0,116,0,40
0,0,116,0,116,0,0
0,0,116,0,116,0,0
0,101,103,0,103,0,80
0,0,103,0,103,0,0
0,205,103,0,103,0,164
0,205,103,0,103,0,164
0,0,103,0,103,0,0
0,406,103,0,103,0,320
0,406,103,0,103,0,320
0,12,104,0,104,0,10
2,485,103,0,103,0,278
2,485,103,0,103,0,278
0,0,103,0,103,0,0
0,50,103,0,103,0,40
0,50,103,0,103,0,40
0,0,103,0,103,0,0
0,0,103,0,103,0,0
0,0,103,0,103,0,0
0,0,103,0,103,0,0
0,2,103,0,103,0,4
0,0,103,0,103,0,0
0,0,103,0,103,0,0
0,0,103,0,103,0,0
0,0,103,0,103,0,0
0,0,103,0,103,0,0
0,0,102,0,102,0,0
0,0,102,0,102,0,0
0,0,102,0,102,0,0
